,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,63,Valenciennes,Valenciennes 4 - 2 Lorient,83,129,46,1.7659574468085106
1,2,40,GFC Ajaccio,Tours 1 - 2 GFC Ajaccio,47,69,22,2.0434782608695654
2,3,39,GD Chaves,CF Belenenses 0 - 1 GD Chaves,27,148,121,0.22131147540983606
3,4,37,Clermont Foot,Orleans 1 - 2 Clermont Foot,35,57,22,1.5217391304347827
4,5,34,Nimes,Nimes 4 - 0 Bourg en Bresse Peronnas,242,252,10,22.0
5,6,33,AC Ajaccio,AC Ajaccio 1 - 0 Reims,52,126,74,0.6933333333333334
6,7,31,Strasbourg,Saint-Etienne 2 - 2 Strasbourg,634,1018,384,1.6467532467532469
7,7,31,Niort,Niort 2 - 1 Chateauroux,22,54,32,0.6666666666666666
8,9,28,Paris FC,Paris FC 2 - 0 Quevilly,109,115,6,15.571428571428571
9,9,28,La Gantoise,La Gantoise 3 - 1 Mouscron-Péruwelz,126,185,59,2.1
10,11,27,Brest,Brest 1 - 0 Sochaux,51,106,55,0.9107142857142857
11,11,27,Osmanlispor,Osmanlispor 2 - 0 Genclerbirligi,24,46,22,1.0434782608695652
12,13,24,Celta Vigo,Celta Vigo 1 - 0 CD Leganes,430,512,82,5.180722891566265
13,13,24,Alkmaar,Alkmaar 2 - 0 Twente,120,172,52,2.2641509433962264
14,15,21,Nancy,Auxerre 1 - 1 Nancy,20,72,52,0.37735849056603776
15,15,21,Stuttgart,Hanovre 1 - 1 Stuttgart,192,416,224,0.8533333333333334
16,17,20,Saint-Etienne,Saint-Etienne 2 - 2 Strasbourg,384,1018,634,0.6047244094488189
17,18,19,Leicester City,West Ham 1 - 1 Leicester City,515,718,203,2.5245098039215685
18,18,19,West Ham,West Ham 1 - 1 Leicester City,203,718,515,0.39341085271317827
19,20,17,Auxerre,Auxerre 1 - 1 Nancy,52,72,20,2.4761904761904763
20,20,17,Hanovre,Hanovre 1 - 1 Stuttgart,224,416,192,1.160621761658031
21,22,10,Lorient,Valenciennes 4 - 2 Lorient,46,129,83,0.5476190476190477
22,23,5,Mouscron-Péruwelz,La Gantoise 3 - 1 Mouscron-Péruwelz,59,185,126,0.4645669291338583
23,23,5,Tours,Tours 1 - 2 GFC Ajaccio,22,69,47,0.4583333333333333
24,23,5,Orleans,Orleans 1 - 2 Clermont Foot,22,57,35,0.6111111111111112
25,23,5,Chateauroux,Niort 2 - 1 Chateauroux,32,54,22,1.391304347826087
26,27,0,Bourg en Bresse Peronnas,Nimes 4 - 0 Bourg en Bresse Peronnas,10,252,242,0.0411522633744856
27,27,0,Sochaux,Brest 1 - 0 Sochaux,55,106,51,1.0576923076923077
28,27,0,Reims,AC Ajaccio 1 - 0 Reims,74,126,52,1.3962264150943395
29,27,0,CD Leganes,Celta Vigo 1 - 0 CD Leganes,82,512,430,0.1902552204176334
30,27,0,Genclerbirligi,Osmanlispor 2 - 0 Genclerbirligi,22,46,24,0.88
31,27,0,Twente,Alkmaar 2 - 0 Twente,52,172,120,0.4297520661157025
32,27,0,CF Belenenses,CF Belenenses 0 - 1 GD Chaves,121,148,27,4.321428571428571
33,27,0,Quevilly,Paris FC 2 - 0 Quevilly,6,115,109,0.05454545454545454
