,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,52,Porto,Monaco 0 - 3 Porto,104,1043,939,0.11063829787234042
1,2,41,Besiktas,Besiktas 2 - 0 RB Leipzig,730,844,114,6.3478260869565215
2,3,40,Real Madrid,Dortmund 1 - 3 Real Madrid,661,1038,377,1.7486772486772486
3,4,34,Spartak,Spartak 1 - 1 Liverpool,117,311,194,0.6
4,5,29,Tottenham,Apoel Nicosie 0 - 3 Tottenham,159,240,81,1.9390243902439024
5,6,27,FC Séville,FC Séville 3 - 0 NK Maribor,126,147,21,5.7272727272727275
6,7,26,Naples,Naples 3 - 1 Feyenoord,356,401,45,7.739130434782608
7,8,22,Manch. City,Manch. City 2 - 0 Shakhtar,638,670,32,19.333333333333332
8,9,13,Liverpool,Spartak 1 - 1 Liverpool,194,311,117,1.6440677966101696
9,10,5,Feyenoord,Naples 3 - 1 Feyenoord,45,401,356,0.12605042016806722
10,10,5,Dortmund,Dortmund 1 - 3 Real Madrid,377,1038,661,0.5694864048338368
11,12,0,NK Maribor,FC Séville 3 - 0 NK Maribor,21,147,126,0.16535433070866143
12,12,0,RB Leipzig,Besiktas 2 - 0 RB Leipzig,114,844,730,0.15595075239398085
13,12,0,Shakhtar,Manch. City 2 - 0 Shakhtar,32,670,638,0.050078247261345854
14,12,0,Monaco,Monaco 0 - 3 Porto,939,1043,104,8.942857142857143
15,12,0,Apoel Nicosie,Apoel Nicosie 0 - 3 Tottenham,81,240,159,0.50625
