,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,75,NK Maribor,Spartak 1 - 1 NK Maribor,79,147,68,1.144927536231884
1,2,50,RB Leipzig,Monaco 1 - 4 RB Leipzig,83,519,436,0.18993135011441648
2,3,43,Tottenham,Dortmund 1 - 2 Tottenham,734,848,114,6.3826086956521735
3,4,42,Real Madrid,Apoel Nicosie 0 - 6 Real Madrid,204,263,59,3.4
4,5,30,FC Séville,FC Séville 3 - 3 Liverpool,90,367,277,0.3237410071942446
5,6,29,Naples,Naples 3 - 0 Shakhtar,302,379,77,3.871794871794872
6,7,28,Liverpool,FC Séville 3 - 3 Liverpool,277,367,90,3.043956043956044
7,8,21,Besiktas,Besiktas 1 - 1 Porto,620,733,113,5.43859649122807
8,9,18,Porto,Besiktas 1 - 1 Porto,113,733,620,0.1819645732689211
9,10,16,Manch. City,Manch. City 1 - 0 Feyenoord,900,921,21,40.90909090909091
10,11,11,Spartak,Spartak 1 - 1 NK Maribor,68,147,79,0.85
11,12,5,Monaco,Monaco 1 - 4 RB Leipzig,436,519,83,5.190476190476191
12,12,5,Dortmund,Dortmund 1 - 2 Tottenham,114,848,734,0.15510204081632653
13,14,0,Shakhtar,Naples 3 - 0 Shakhtar,77,379,302,0.25412541254125415
14,14,0,Feyenoord,Manch. City 1 - 0 Feyenoord,21,921,900,0.023307436182019976
15,14,0,Apoel Nicosie,Apoel Nicosie 0 - 6 Real Madrid,59,263,204,0.28780487804878047
