,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,125,Bournemouth,Chelsea 0 - 3 Bournemouth,35,220,185,0.1881720430107527
1,2,39,Everton,Everton 2 - 1 Leicester City,249,407,158,1.5660377358490567
2,3,35,B & H Albion,Southampton 1 - 1 B & H Albion,122,167,45,2.652173913043478
3,4,34,Tottenham,Tottenham 2 - 0 Manch. Utd,170,726,556,0.3052064631956912
4,5,32,Vitoria,GD Chaves 2 - 2 Vitoria,10,76,66,0.14925373134328357
5,6,31,Boavista FC,Boavista FC 2 - 1 CS Maritimo,48,68,20,2.2857142857142856
6,7,28,Monaco,Monaco 2 - 0 Montpellier,363,527,164,2.2
7,8,26,Manch. City,Manch. City 3 - 0 West Bromwich,520,572,52,9.81132075471698
8,9,25,Burnley FC,Newcastle 1 - 1 Burnley FC,178,243,65,2.696969696969697
9,10,22,CD Leganes,CD Leganes 1 - 1 FC Séville,100,389,289,0.3448275862068966
10,11,19,GD Chaves,GD Chaves 2 - 2 Vitoria,66,76,10,6.0
11,12,18,Watford FC,Stoke 0 - 0 Watford FC,30,102,72,0.410958904109589
12,12,18,Sporting,Sporting 1 - 0 Guimaraes,108,147,39,2.7
13,14,16,Newcastle,Newcastle 1 - 1 Burnley FC,65,243,178,0.36312849162011174
14,14,16,FC Séville,CD Leganes 1 - 1 FC Séville,289,389,100,2.8613861386138613
15,16,15,Lazio,Milan 0 - 0 Lazio,146,266,120,1.2066115702479339
16,17,14,Southampton,Southampton 1 - 1 B & H Albion,45,167,122,0.36585365853658536
17,18,12,Milan,Milan 0 - 0 Lazio,120,266,146,0.8163265306122449
18,19,11,Stoke,Stoke 0 - 0 Watford FC,72,102,30,2.3225806451612905
19,20,5,Leicester City,Everton 2 - 1 Leicester City,158,407,249,0.632
20,20,5,CS Maritimo,Boavista FC 2 - 1 CS Maritimo,20,68,48,0.40816326530612246
21,22,0,West Bromwich,Manch. City 3 - 0 West Bromwich,52,572,520,0.09980806142034548
22,22,0,Manch. Utd,Tottenham 2 - 0 Manch. Utd,556,726,170,3.2514619883040936
23,22,0,Guimaraes,Sporting 1 - 0 Guimaraes,39,147,108,0.3577981651376147
24,22,0,Chelsea,Chelsea 0 - 3 Bournemouth,185,220,35,5.138888888888889
25,22,0,Montpellier,Monaco 2 - 0 Montpellier,164,527,363,0.45054945054945056
