,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,58,Bournemouth,Bournemouth 2 - 1 Arsenal,85,216,131,0.6439393939393939
1,2,51,Liverpool,Liverpool 4 - 3 Manch. City,296,1068,772,0.3829236739974127
2,3,44,Cologne,Cologne 2 - 1 M'Gladbach,92,254,162,0.5644171779141104
3,4,40,Angers,Lyon 1 - 1 Angers,28,625,597,0.046822742474916385
4,5,39,Rio Ave,CF Belenenses 1 - 2 Rio Ave,23,33,10,2.090909090909091
5,6,38,Wolfsbourg,Dortmund 0 - 0 Wolfsbourg,69,237,168,0.40828402366863903
6,6,38,CD Alaves,CD Alaves 1 - 0 FC Séville,8,56,48,0.16326530612244897
7,8,37,CD Tondela,CD Tondela 3 - 1 CD Feirense,9,13,4,1.8
8,9,34,Barcelone,Real Sociedad 2 - 4 Barcelone,138,178,40,3.3658536585365852
9,9,34,Boavista FC,Boavista FC 2 - 0 Portimonense,33,39,6,4.714285714285714
10,11,32,Saint-Etienne,Saint-Etienne 2 - 0 Toulouse,281,487,206,1.357487922705314
11,12,27,Celta Vigo,Levante 0 - 1 Celta Vigo,83,113,30,2.6774193548387095
12,12,27,Sporting,Sporting 3 - 0 CD Aves,164,174,10,14.909090909090908
13,14,20,Athl. Bilbao,Espanyol 1 - 1 Athl. Bilbao,78,125,47,1.625
14,15,18,Espanyol,Espanyol 1 - 1 Athl. Bilbao,47,125,78,0.5949367088607594
15,15,18,Paris SG,Nantes 0 - 1 Paris SG,136,343,207,0.6538461538461539
16,17,15,Manch. City,Liverpool 4 - 3 Manch. City,772,1068,296,2.5993265993265995
17,18,12,Lyon,Lyon 1 - 1 Angers,597,625,28,20.586206896551722
18,19,10,Real Sociedad,Real Sociedad 2 - 4 Barcelone,40,178,138,0.28776978417266186
19,20,7,Dortmund,Dortmund 0 - 0 Wolfsbourg,168,237,69,2.4
20,21,5,Arsenal,Bournemouth 2 - 1 Arsenal,131,216,85,1.5232558139534884
21,21,5,M'Gladbach,Cologne 2 - 1 M'Gladbach,162,254,92,1.7419354838709677
22,21,5,CD Feirense,CD Tondela 3 - 1 CD Feirense,4,13,9,0.4
23,21,5,CF Belenenses,CF Belenenses 1 - 2 Rio Ave,10,33,23,0.4166666666666667
24,25,0,FC Séville,CD Alaves 1 - 0 FC Séville,48,56,8,5.333333333333333
25,25,0,Nantes,Nantes 0 - 1 Paris SG,207,343,136,1.510948905109489
26,25,0,Levante,Levante 0 - 1 Celta Vigo,30,113,83,0.35714285714285715
27,25,0,Toulouse,Saint-Etienne 2 - 0 Toulouse,206,487,281,0.7304964539007093
28,25,0,Portimonense,Boavista FC 2 - 0 Portimonense,6,39,33,0.17647058823529413
29,25,0,CD Aves,Sporting 3 - 0 CD Aves,10,174,164,0.06060606060606061
