,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,46,Sporting Lokeren,FC Malines 0 - 2 Sporting Lokeren,83,140,57,1.4310344827586208
1,2,44,Montpellier,Guingamp 0 - 2 Montpellier,574,1064,490,1.1690427698574337
2,3,39,Caen,Lorient 0 - 1 Caen,827,1101,274,3.0072727272727273
3,4,37,KV Ostende,KV Ostende 3 - 0 Royal Charleroi,100,495,395,0.25252525252525254
4,5,29,Inter Milan,Inter Milan 3 - 2 Sampdoria,1117,1289,172,6.456647398843931
5,5,29,La Gantoise,La Gantoise 3 - 0 KAS Eupen,225,294,69,3.2142857142857144
6,7,10,Sampdoria,Inter Milan 3 - 2 Sampdoria,172,1289,1117,0.15384615384615385
7,8,0,Guingamp,Guingamp 0 - 2 Montpellier,490,1064,574,0.8521739130434782
8,8,0,FC Malines,FC Malines 0 - 2 Sporting Lokeren,57,140,83,0.6785714285714286
9,8,0,Royal Charleroi,KV Ostende 3 - 0 Royal Charleroi,395,495,100,3.910891089108911
10,8,0,KAS Eupen,La Gantoise 3 - 0 KAS Eupen,69,294,225,0.3053097345132743
11,8,0,Lorient,Lorient 0 - 1 Caen,274,1101,827,0.3309178743961353
