,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,60,FC Lugano,FC Lugano 3 - 2 Viktoria Plzen,31,47,16,1.8235294117647058
1,2,55,Slavia Prague,Villarreal 2 - 2 Slavia Prague,12,97,85,0.13953488372093023
2,3,50,Zorya Lougansk,Zorya Lougansk 2 - 1 Hertha Berlin,56,112,56,0.9824561403508771
3,4,48,SC Fotbal Club Fcsb Sa,Hapoël Beer-Sheva 1 - 2 SC Fotbal Club Fcsb Sa,61,89,28,2.103448275862069
4,4,48,Ludogorets Razgrad,Braga 0 - 2 Ludogorets Razgrad,17,123,106,0.1588785046728972
5,6,43,Lazio,Nice 1 - 3 Lazio,952,1101,149,6.346666666666667
6,6,43,Real Sociedad,Vardar Skopje 0 - 6 Real Sociedad,66,197,131,0.5
7,8,42,FK Astana,FK Astana 4 - 0 Maccabi Tel Aviv,70,109,39,1.75
8,9,41,Rijeka,Austria Vienne 1 - 3 Rijeka,3,50,47,0.0625
9,10,40,Athènes,Milan 0 - 0 Athènes,6,311,305,0.0196078431372549
10,11,39,Young Boys,Dynamo Kiev 2 - 2 Young Boys,36,66,30,1.1612903225806452
11,12,38,Lyon,Everton 1 - 2 Lyon,269,397,128,2.0852713178294575
12,13,33,Bate Borisov,Bate Borisov 1 - 0 Cologne,179,217,38,4.589743589743589
13,13,33,Östersunds FK,Östersunds FK 2 - 2 Athl. Bilbao,106,176,70,1.4929577464788732
14,15,31,Hoffenheim,Hoffenheim 3 - 1 İstanbul Basaksehir,26,73,47,0.5416666666666666
15,16,29,Fastav Zlin,Fastav Zlin 1 - 1 Copenhague,23,43,20,1.0952380952380953
16,17,28,Zenit St Petersbourg,Zenit St Petersbourg 3 - 1 Rosenborg,146,191,45,3.1739130434782608
17,17,28,Red Bull Salzbourg,Atiker Konyaspor 1922 0 - 2 Red Bull Salzbourg,40,124,84,0.47058823529411764
18,17,28,Atalanta Bergame,Atalanta Bergame 3 - 1 Apollon Limassol,65,91,26,2.4074074074074074
19,20,25,Tiraspol,Tiraspol 1 - 1 Lokomotiv,19,40,21,0.8636363636363636
20,21,24,Arsenal,Étoile rouge Belgrade 0 - 1 Arsenal,429,471,42,9.976744186046512
21,22,23,Marseille,Marseille 2 - 1 Guimaraes,96,226,130,0.732824427480916
22,23,21,Arnheim,Zulte-Waregem 1 - 1 Arnheim,30,114,84,0.35294117647058826
23,24,19,Athl. Bilbao,Östersunds FK 2 - 2 Athl. Bilbao,70,176,106,0.6542056074766355
24,25,18,Dynamo Kiev,Dynamo Kiev 2 - 2 Young Boys,30,66,36,0.8108108108108109
25,26,17,Zulte-Waregem,Zulte-Waregem 1 - 1 Arnheim,84,114,30,2.7096774193548385
26,26,17,Villarreal,Villarreal 2 - 2 Slavia Prague,85,97,12,6.538461538461538
27,26,17,KF Skenderbeu Korce,KF Skenderbeu Korce 0 - 0 Partizan Belgrade,17,47,30,0.5483870967741935
28,29,16,Lokomotiv,Tiraspol 1 - 1 Lokomotiv,21,40,19,1.05
29,30,15,Copenhague,Fastav Zlin 1 - 1 Copenhague,20,43,23,0.8333333333333334
30,31,12,Partizan Belgrade,KF Skenderbeu Korce 0 - 0 Partizan Belgrade,30,47,17,1.6666666666666667
31,32,10,Viktoria Plzen,FC Lugano 3 - 2 Viktoria Plzen,16,47,31,0.5
32,33,7,Milan,Milan 0 - 0 Athènes,305,311,6,43.57142857142857
33,34,5,Nice,Nice 1 - 3 Lazio,149,1101,952,0.15634837355718784
34,34,5,Guimaraes,Marseille 2 - 1 Guimaraes,130,226,96,1.3402061855670102
35,34,5,Hertha Berlin,Zorya Lougansk 2 - 1 Hertha Berlin,56,112,56,0.9824561403508771
36,34,5,Rosenborg,Zenit St Petersbourg 3 - 1 Rosenborg,45,191,146,0.30612244897959184
37,34,5,Austria Vienne,Austria Vienne 1 - 3 Rijeka,47,50,3,11.75
38,34,5,Everton,Everton 1 - 2 Lyon,128,397,269,0.4740740740740741
39,34,5,İstanbul Basaksehir,Hoffenheim 3 - 1 İstanbul Basaksehir,47,73,26,1.7407407407407407
40,34,5,Hapoël Beer-Sheva,Hapoël Beer-Sheva 1 - 2 SC Fotbal Club Fcsb Sa,28,89,61,0.45161290322580644
41,34,5,Apollon Limassol,Atalanta Bergame 3 - 1 Apollon Limassol,26,91,65,0.3939393939393939
42,43,0,Cologne,Bate Borisov 1 - 0 Cologne,38,217,179,0.2111111111111111
43,43,0,Vardar Skopje,Vardar Skopje 0 - 6 Real Sociedad,131,197,66,1.955223880597015
44,43,0,Maccabi Tel Aviv,FK Astana 4 - 0 Maccabi Tel Aviv,39,109,70,0.5492957746478874
45,43,0,Braga,Braga 0 - 2 Ludogorets Razgrad,106,123,17,5.888888888888889
46,43,0,Étoile rouge Belgrade,Étoile rouge Belgrade 0 - 1 Arsenal,42,471,429,0.09767441860465116
47,43,0,Atiker Konyaspor 1922,Atiker Konyaspor 1922 0 - 2 Red Bull Salzbourg,84,124,40,2.048780487804878
