,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,70,Albanie,Turquie 2 - 3 Albanie,39,230,191,0.203125
1,2,44,Kosovo,Kosovo 4 - 3 Lettonie,29,92,63,0.453125
2,3,40,Suède,Italie 0 - 0 Suède,554,1334,780,0.7093469910371318
3,4,35,Arménie,Arménie 3 - 2 Chypre,163,184,21,7.409090909090909
4,5,30,Biélorussie,Géorgie 2 - 2 Biélorussie,78,107,29,2.6
5,5,30,Mexique,Pologne 0 - 1 Mexique,175,830,655,0.26676829268292684
6,7,27,Iran,Venezuela 0 - 1 Iran,29,485,456,0.06345733041575492
7,7,27,Bulgarie,Bulgarie 1 - 0 Arabie Saoudite,279,289,10,25.363636363636363
8,9,20,Géorgie,Géorgie 2 - 2 Biélorussie,29,107,78,0.3670886075949367
9,10,15,Lettonie,Kosovo 4 - 3 Lettonie,63,92,29,2.1
10,11,10,Chypre,Arménie 3 - 2 Chypre,21,184,163,0.12804878048780488
11,11,10,Turquie,Turquie 2 - 3 Albanie,191,230,39,4.775
12,13,8,Italie,Italie 0 - 0 Suède,780,1334,554,1.4054054054054055
13,14,0,Arabie Saoudite,Bulgarie 1 - 0 Arabie Saoudite,10,289,279,0.03571428571428571
14,14,0,Venezuela,Venezuela 0 - 1 Iran,456,485,29,15.2
15,14,0,Pologne,Pologne 0 - 1 Mexique,655,830,175,3.721590909090909
