,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,120,NAC Breda,Feyenoord 0 - 2 NAC Breda,9,52,43,0.20454545454545456
1,2,75,Montpellier,Montpellier 0 - 0 Paris Saint Germain,78,422,344,0.22608695652173913
2,3,70,Dijon,Lyon 3 - 3 Dijon,41,227,186,0.2192513368983957
3,4,63,Lausanne-Sport,Lucerne 2 - 3 Lausanne-Sport,7,8,1,3.5
4,5,55,Genclerbirligi,Genclerbirligi 1 - 0 İstanbul Basaksehir,2,6,4,0.4
5,6,48,Moreirense FC,Moreirense FC 1 - 1 Sporting,0,3,3,0.0
6,7,45,GD Chaves,Estoril-Praia 0 - 2 GD Chaves,2,9,7,0.25
7,8,44,Dortmund,Dortmund 6 - 1 M'Gladbach,78,86,8,8.666666666666666
8,9,43,Watford FC,Swansea City 1 - 2 Watford FC,58,142,84,0.6823529411764706
9,10,42,Troyes,Metz 0 - 1 Troyes,167,523,356,0.4677871148459384
10,11,37,Atiker Konyaspor 1922,Atiker Konyaspor 1922 2 - 0 Akhisar Belediyespor,8,14,6,1.1428571428571428
11,12,36,Chelsea,Stoke 0 - 4 Chelsea,98,140,42,2.2790697674418605
12,12,36,Manch. City,Manch. City 5 - 0 Crystal Palace,407,418,11,33.916666666666664
13,12,36,Fenerbahce,Fenerbahce 2 - 1 Besiktas,24,50,26,0.8888888888888888
14,15,34,Liverpool,Leicester City 2 - 3 Liverpool,118,279,161,0.7283950617283951
15,15,34,Mouscron-Péruwelz,Mouscron-Péruwelz 3 - 2 KAS Eupen,29,34,5,4.833333333333333
16,15,34,Juventus,Juventus 4 - 0 Torino FC,43,60,17,2.388888888888889
17,18,33,Bordeaux,Bordeaux 3 - 1 Guingamp,140,288,148,0.9395973154362416
18,18,33,KV Ostende,KRC Genk 1 - 1 KV Ostende,8,10,2,2.6666666666666665
19,20,32,Hoffenheim,Hoffenheim 2 - 0 Schalke 04,65,151,86,0.7471264367816092
20,21,31,Heerenven,Willem II 1 - 2 Heerenven,11,25,14,0.7333333333333333
21,21,31,Tottenham,West Ham 2 - 3 Tottenham,52,108,56,0.9122807017543859
22,23,30,FC Malines,FC Malines 2 - 0 Saint-Trond,12,47,35,0.3333333333333333
23,23,30,Malaga,Malaga 3 - 3 Athl. Bilbao,28,107,79,0.35
24,25,29,Everton,Everton 2 - 1 AFC Bournemouth,65,69,4,13.0
25,26,28,Barcelone,FC Gérone 0 - 3 Barcelone,114,122,8,12.666666666666666
26,26,28,Athl. Bilbao,Malaga 3 - 3 Athl. Bilbao,79,107,28,2.7241379310344827
27,28,27,RB Leipzig,RB Leipzig 2 - 1 E. Francfort,45,50,5,7.5
28,28,27,Mayence,Mayence 1 - 0 Hertha Berlin,13,50,37,0.34210526315789475
29,28,27,Naples,SPAL 2013 2 - 3 Naples,93,98,5,15.5
30,28,27,AS Rome,AS Rome 3 - 1 Udinese,13,25,12,1.0
31,32,26,Atl. Madrid,Atl. Madrid 2 - 0 FC Séville,26,92,66,0.3880597014925373
32,32,26,Heracles,Heracles 2 - 1 Roda,2,5,3,0.5
33,32,26,Anderlecht,Waasland-Beveren 1 - 2 Anderlecht,9,36,27,0.32142857142857145
34,35,25,La Haye,La Haye 1 - 0 Sparta Rotterdam,21,32,11,1.75
35,36,24,Nancy,Lorient 0 - 0 Nancy,18,48,30,0.5806451612903226
36,36,24,Fribourg,Brême 0 - 0 Fribourg,16,26,10,1.4545454545454546
37,36,24,Caen,Caen 1 - 0 Amiens,112,252,140,0.7943262411347518
38,36,24,Manch. Utd,Southampton 0 - 1 Manch. Utd,242,262,20,11.523809523809524
39,40,22,Bâle,Bâle 1 - 0 FC Zürich,9,16,7,1.125
40,40,22,Real Madrid,CD Alaves 1 - 2 Real Madrid,106,115,9,10.6
41,40,22,Benfica,Benfica 2 - 0 Paços Ferreira,13,15,2,4.333333333333333
42,43,21,Lyon,Lyon 3 - 3 Dijon,186,227,41,4.428571428571429
43,44,18,Huddersfield T.,Burnley FC 0 - 0 Huddersfield T.,55,125,70,0.7746478873239436
44,45,17,Augsbourg,Stuttgart 0 - 0 Augsbourg,28,55,27,1.0
45,46,13,KRC Genk,KRC Genk 1 - 1 KV Ostende,2,10,8,0.2222222222222222
46,47,12,Sporting,Moreirense FC 1 - 1 Sporting,3,3,0,3.0
47,48,11,Burnley FC,Burnley FC 0 - 0 Huddersfield T.,70,125,55,1.25
48,48,11,Stuttgart,Stuttgart 0 - 0 Augsbourg,27,55,28,0.9310344827586207
49,50,10,West Ham,West Ham 2 - 3 Tottenham,56,108,52,1.0566037735849056
50,50,10,Leicester City,Leicester City 2 - 3 Liverpool,161,279,118,1.3529411764705883
51,50,10,Lucerne,Lucerne 2 - 3 Lausanne-Sport,1,8,7,0.125
52,50,10,KAS Eupen,Mouscron-Péruwelz 3 - 2 KAS Eupen,5,34,29,0.16666666666666666
53,50,10,SPAL 2013,SPAL 2013 2 - 3 Naples,5,98,93,0.05319148936170213
54,55,9,Lorient,Lorient 0 - 0 Nancy,30,48,18,1.5789473684210527
55,55,9,Brême,Brême 0 - 0 Fribourg,10,26,16,0.5882352941176471
56,57,6,Paris Saint Germain,Montpellier 0 - 0 Paris Saint Germain,344,422,78,4.3544303797468356
57,58,5,CD Alaves,CD Alaves 1 - 2 Real Madrid,9,115,106,0.08411214953271028
58,58,5,Waasland-Beveren,Waasland-Beveren 1 - 2 Anderlecht,27,36,9,2.7
59,58,5,M'Gladbach,Dortmund 6 - 1 M'Gladbach,8,86,78,0.10126582278481013
60,58,5,E. Francfort,RB Leipzig 2 - 1 E. Francfort,5,50,45,0.10869565217391304
61,58,5,Guingamp,Bordeaux 3 - 1 Guingamp,148,288,140,1.049645390070922
62,58,5,Besiktas,Fenerbahce 2 - 1 Besiktas,26,50,24,1.04
63,58,5,Udinese,AS Rome 3 - 1 Udinese,12,25,13,0.8571428571428571
64,58,5,Swansea City,Swansea City 1 - 2 Watford FC,84,142,58,1.423728813559322
65,58,5,Willem II,Willem II 1 - 2 Heerenven,14,25,11,1.1666666666666667
66,58,5,Roda,Heracles 2 - 1 Roda,3,5,2,1.0
67,58,5,AFC Bournemouth,Everton 2 - 1 AFC Bournemouth,4,69,65,0.06060606060606061
68,69,0,Hertha Berlin,Mayence 1 - 0 Hertha Berlin,37,50,13,2.642857142857143
69,69,0,Amiens,Caen 1 - 0 Amiens,140,252,112,1.238938053097345
70,69,0,Southampton,Southampton 0 - 1 Manch. Utd,20,262,242,0.0823045267489712
71,69,0,FC Zürich,Bâle 1 - 0 FC Zürich,7,16,9,0.7
72,69,0,Schalke 04,Hoffenheim 2 - 0 Schalke 04,86,151,65,1.303030303030303
73,69,0,İstanbul Basaksehir,Genclerbirligi 1 - 0 İstanbul Basaksehir,4,6,2,1.3333333333333333
74,69,0,Sparta Rotterdam,La Haye 1 - 0 Sparta Rotterdam,11,32,21,0.5
75,69,0,Akhisar Belediyespor,Atiker Konyaspor 1922 2 - 0 Akhisar Belediyespor,6,14,8,0.6666666666666666
76,69,0,Paços Ferreira,Benfica 2 - 0 Paços Ferreira,2,15,13,0.14285714285714285
77,69,0,Stoke,Stoke 0 - 4 Chelsea,42,140,98,0.42424242424242425
78,69,0,Metz,Metz 0 - 1 Troyes,356,523,167,2.119047619047619
79,69,0,Torino FC,Juventus 4 - 0 Torino FC,17,60,43,0.38636363636363635
80,69,0,Feyenoord,Feyenoord 0 - 2 NAC Breda,43,52,9,4.3
81,69,0,FC Séville,Atl. Madrid 2 - 0 FC Séville,66,92,26,2.4444444444444446
82,69,0,Saint-Trond,FC Malines 2 - 0 Saint-Trond,35,47,12,2.6923076923076925
83,69,0,Estoril-Praia,Estoril-Praia 0 - 2 GD Chaves,7,9,2,2.3333333333333335
84,69,0,FC Gérone,FC Gérone 0 - 3 Barcelone,8,122,114,0.06956521739130435
85,69,0,Crystal Palace,Manch. City 5 - 0 Crystal Palace,11,418,407,0.02696078431372549
