,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,48,FC Gérone,La Corogne 1 - 2 FC Gérone,95,743,648,0.14637904468412943
1,2,37,Portimonense,Guimaraes 3 - 3 Portimonense,60,232,172,0.3468208092485549
2,3,31,AC Ajaccio,AC Ajaccio 2 - 0 GFC Ajaccio,853,987,134,6.318518518518519
3,4,30,İstanbul Basaksehir,Besiktas 1 - 1 İstanbul Basaksehir,119,688,569,0.20877192982456141
4,5,27,Espanyol,Real Sociedad 1 - 1 Espanyol,163,930,767,0.21223958333333334
5,6,26,Braga,Moreirense FC 0 - 1 Braga,483,601,118,4.0588235294117645
6,7,24,Guimaraes,Guimaraes 3 - 3 Portimonense,172,232,60,2.819672131147541
7,8,14,Real Sociedad,Real Sociedad 1 - 1 Espanyol,767,930,163,4.676829268292683
8,9,13,Besiktas,Besiktas 1 - 1 İstanbul Basaksehir,569,688,119,4.741666666666666
9,10,5,La Corogne,La Corogne 1 - 2 FC Gérone,648,743,95,6.75
10,11,0,Moreirense FC,Moreirense FC 0 - 1 Braga,118,601,483,0.24380165289256198
11,11,0,GFC Ajaccio,AC Ajaccio 2 - 0 GFC Ajaccio,134,987,853,0.15690866510538642
