,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,140,FC Gérone,FC Gérone 2 - 1 Real Madrid,20,194,174,0.11428571428571428
1,2,55,Crotone FC,Crotone FC 2 - 1 Fiorentina AC,12,52,40,0.2926829268292683
2,3,50,Udinese,Udinese 2 - 1 Atalanta Bergame,54,93,39,1.35
3,4,49,Augsbourg,Brême 0 - 3 Augsbourg,43,107,64,0.6615384615384615
4,5,44,Trabzonspor,Trabzonspor 2 - 1 Galatasaray,6,60,54,0.10909090909090909
5,6,43,Bursaspor,Bursaspor 4 - 0 Antalyaspor,10,28,18,0.5263157894736842
6,6,43,NAC Breda,Utrecht 2 - 2 NAC Breda,12,20,8,1.3333333333333333
7,6,43,Guimaraes,CD Aves 1 - 3 Guimaraes,25,33,8,2.7777777777777777
8,9,42,St Gall,St Gall 3 - 1 Grasshopper,6,24,18,0.3157894736842105
9,10,41,Sampdoria,Sampdoria 4 - 1 Chievo,52,59,7,6.5
10,11,39,PSV,Arnheim 2 - 4 PSV,53,77,24,2.12
11,11,39,Young Boys,Young Boys 5 - 1 Sion,26,40,14,1.7333333333333334
12,11,39,Malaga,Malaga 2 - 1 Celta Vigo,33,149,116,0.28205128205128205
13,14,38,Lazio,Benevento Calcio 1 - 5 Lazio,206,227,21,9.363636363636363
14,15,36,Alkmaar,Heerenven 1 - 2 Alkmaar,20,28,8,2.2222222222222223
15,15,36,SPAL 2013,SPAL 2013 1 - 0 Genoa,18,62,44,0.4
16,17,35,Getafe,Getafe 2 - 1 Real Sociedad,10,76,66,0.14925373134328357
17,18,34,Stuttgart,Stuttgart 3 - 0 Fribourg,45,68,23,1.875
18,18,34,FC Bruges,FC Bruges 4 - 1 Saint-Trond,14,21,7,1.75
19,20,33,Sivasspor,Karabükspor 0 - 1 Sivasspor,7,10,3,1.75
20,21,32,Sparta Rotterdam,Sparta Rotterdam 2 - 1 Groningue,11,19,8,1.2222222222222223
21,22,31,Leicester City,Leicester City 2 - 0 Everton,184,357,173,1.0574712643678161
22,22,31,Levante,SD Eibar 2 - 2 Levante,81,95,14,5.4
23,22,31,Standard Liège,Standard Liège 3 - 1 Waasland-Beveren,4,13,9,0.4
24,25,30,Atiker Konyaspor 1922,Atiker Konyaspor 1922 1 - 0 Osmanlispor,7,7,0,7.0
25,26,28,Paços Ferreira,Paços Ferreira 1 - 0 Estoril-Praia,17,22,5,2.8333333333333335
26,27,27,FC Lugano,FC Lugano 1 - 0 Lucerne,11,18,7,1.375
27,27,27,Marseille,Lille 0 - 1 Marseille,599,912,313,1.9076433121019107
28,29,26,Torino FC,Torino FC 2 - 1 Cagliari,30,40,10,2.727272727272727
29,29,26,Naples,Naples 3 - 1 US Sassuolo,342,350,8,38.0
30,31,24,Royal Antwerp,Mouscron-Péruwelz 2 - 2 Royal Antwerp,3,13,10,0.2727272727272727
31,32,23,Mouscron-Péruwelz,Mouscron-Péruwelz 2 - 2 Royal Antwerp,10,13,3,2.5
32,33,22,B & H Albion,B & H Albion 1 - 1 Southampton,112,173,61,1.8064516129032258
33,33,22,Lyon,Lyon 2 - 0 Metz,497,560,63,7.765625
34,35,21,Braga,Braga 1 - 0 GD Chaves,18,20,2,6.0
35,36,20,SD Eibar,SD Eibar 2 - 2 Levante,14,95,81,0.17073170731707318
36,37,17,Southampton,B & H Albion 1 - 1 Southampton,61,173,112,0.5398230088495575
37,37,17,Saint-Etienne,Toulouse 0 - 0 Saint-Etienne,256,393,137,1.855072463768116
38,37,17,Utrecht,Utrecht 2 - 2 NAC Breda,8,20,12,0.6153846153846154
39,40,12,Toulouse,Toulouse 0 - 0 Saint-Etienne,137,393,256,0.5330739299610895
40,41,10,Arnheim,Arnheim 2 - 4 PSV,24,77,53,0.4444444444444444
41,42,5,Galatasaray,Trabzonspor 2 - 1 Galatasaray,54,60,6,7.714285714285714
42,42,5,Sion,Young Boys 5 - 1 Sion,14,40,26,0.5185185185185185
43,42,5,Heerenven,Heerenven 1 - 2 Alkmaar,8,28,20,0.38095238095238093
44,42,5,Saint-Trond,FC Bruges 4 - 1 Saint-Trond,7,21,14,0.4666666666666667
45,42,5,Grasshopper,St Gall 3 - 1 Grasshopper,18,24,6,2.5714285714285716
46,42,5,Waasland-Beveren,Standard Liège 3 - 1 Waasland-Beveren,9,13,4,1.8
47,42,5,Cagliari,Torino FC 2 - 1 Cagliari,10,40,30,0.3225806451612903
48,42,5,Real Sociedad,Getafe 2 - 1 Real Sociedad,66,76,10,6.0
49,42,5,Real Madrid,FC Gérone 2 - 1 Real Madrid,174,194,20,8.285714285714286
50,42,5,Celta Vigo,Malaga 2 - 1 Celta Vigo,116,149,33,3.411764705882353
51,42,5,Benevento Calcio,Benevento Calcio 1 - 5 Lazio,21,227,206,0.10144927536231885
52,42,5,Chievo,Sampdoria 4 - 1 Chievo,7,59,52,0.1320754716981132
53,42,5,CD Aves,CD Aves 1 - 3 Guimaraes,8,33,25,0.3076923076923077
54,42,5,US Sassuolo,Naples 3 - 1 US Sassuolo,8,350,342,0.023323615160349854
55,42,5,Atalanta Bergame,Udinese 2 - 1 Atalanta Bergame,39,93,54,0.7090909090909091
56,42,5,Fiorentina AC,Crotone FC 2 - 1 Fiorentina AC,40,52,12,3.076923076923077
57,42,5,Groningue,Sparta Rotterdam 2 - 1 Groningue,8,19,11,0.6666666666666666
58,59,0,Antalyaspor,Bursaspor 4 - 0 Antalyaspor,18,28,10,1.6363636363636365
59,59,0,Estoril-Praia,Paços Ferreira 1 - 0 Estoril-Praia,5,22,17,0.2777777777777778
60,59,0,GD Chaves,Braga 1 - 0 GD Chaves,2,20,18,0.10526315789473684
61,59,0,Everton,Leicester City 2 - 0 Everton,173,357,184,0.9351351351351351
62,59,0,Fribourg,Stuttgart 3 - 0 Fribourg,23,68,45,0.5
63,59,0,Brême,Brême 0 - 3 Augsbourg,64,107,43,1.4545454545454546
64,59,0,Lucerne,FC Lugano 1 - 0 Lucerne,7,18,11,0.5833333333333334
65,59,0,Metz,Lyon 2 - 0 Metz,63,560,497,0.12650602409638553
66,59,0,Lille,Lille 0 - 1 Marseille,313,912,599,0.5216666666666666
67,59,0,Genoa,SPAL 2013 1 - 0 Genoa,44,62,18,2.3157894736842106
68,59,0,Karabükspor,Karabükspor 0 - 1 Sivasspor,3,10,7,0.375
69,59,0,Osmanlispor,Atiker Konyaspor 1922 1 - 0 Osmanlispor,0,7,7,0.0
