,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,44,Sporting CP,FC FCSB 1 - 5 Sporting CP,1248,1849,601,2.0730897009966776
1,2,36,Liverpool,Liverpool 4 - 2 Hoffenheim,832,939,107,7.703703703703703
2,3,29,APOEL Nicosia,Slavia Prague 0 - 0 APOEL Nicosia,644,778,134,4.770370370370371
3,4,28,CSKA Moscow,CSKA Moscow 2 - 0 Young Boys,792,958,166,4.74251497005988
4,5,27,FC Koebenhavn,FC Koebenhavn 2 - 1 Qarabag FK,428,670,242,1.7613168724279835
5,6,10,Hoffenheim,Liverpool 4 - 2 Hoffenheim,107,939,832,0.12845138055222088
6,7,8,Slavia Prague,Slavia Prague 0 - 0 APOEL Nicosia,134,778,644,0.20775193798449612
7,8,5,Qarabag FK,FC Koebenhavn 2 - 1 Qarabag FK,242,670,428,0.5641025641025641
8,8,5,FC FCSB,FC FCSB 1 - 5 Sporting CP,601,1849,1248,0.4811849479583667
9,10,0,Young Boys,CSKA Moscow 2 - 0 Young Boys,166,958,792,0.20933165195460277
