,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,55,Celta Vigo,Las Palmas 2 - 5 Celta Vigo,575,982,407,1.4093137254901962
1,2,40,Bursaspor,Bursaspor 3 - 1 Osmanlispor,505,531,26,18.703703703703702
2,3,34,Niort,Lorient 0 - 0 Niort,178,951,773,0.22997416020671835
3,4,27,West Bromwich,Leicester City 1 - 1 West Bromwich,209,1360,1151,0.1814236111111111
4,5,24,Hellas Vérone,Hellas Vérone 1 - 0 Benevento Calcio,295,366,71,4.097222222222222
5,6,15,Leicester City,Leicester City 1 - 1 West Bromwich,1151,1360,209,5.480952380952381
6,7,10,Las Palmas,Las Palmas 2 - 5 Celta Vigo,407,982,575,0.7065972222222222
7,8,7,Lorient,Lorient 0 - 0 Niort,773,951,178,4.318435754189944
8,9,5,Osmanlispor,Bursaspor 3 - 1 Osmanlispor,26,531,505,0.05138339920948617
9,10,0,Benevento Calcio,Hellas Vérone 1 - 0 Benevento Calcio,71,366,295,0.23986486486486486
