,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,55,CD Feirense,Estoril-Praia 0 - 2 CD Feirense,148,363,215,0.6851851851851852
1,2,36,B & H Albion,B & H Albion 2 - 1 Crystal Palace,265,836,571,0.4632867132867133
2,3,34,Espanyol,Malaga 0 - 1 Espanyol,540,1154,614,0.8780487804878049
3,4,30,Lens,Lens 3 - 2 Boulogne,865,1145,280,3.078291814946619
4,5,20,Portimonense,Paços Ferreira 1 - 1 Portimonense,97,248,151,0.6381578947368421
5,6,17,Paços Ferreira,Paços Ferreira 1 - 1 Portimonense,151,248,97,1.5408163265306123
6,7,10,Boulogne,Lens 3 - 2 Boulogne,280,1145,865,0.3233256351039261
7,8,5,Crystal Palace,B & H Albion 2 - 1 Crystal Palace,571,836,265,2.1466165413533833
8,9,0,Malaga,Malaga 0 - 1 Espanyol,614,1154,540,1.1349353049907578
9,9,0,Estoril-Praia,Estoril-Praia 0 - 2 CD Feirense,215,363,148,1.4429530201342282
