,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,78,Akhisar Belediyespor,Trabzonspor 1 - 6 Akhisar Belediyespor,4,10,6,0.5714285714285714
1,2,56,Valence,Betis Séville 3 - 6 Valence,124,166,42,2.883720930232558
2,3,48,St Gall,Sion 1 - 2 St Gall,9,20,11,0.75
3,4,47,Genoa,Cagliari 2 - 3 Genoa,5,11,6,0.7142857142857143
4,5,46,Sampdoria,Sampdoria 3 - 1 Atalanta Bergame,35,66,31,1.09375
5,5,46,Sivasspor,Kasimpasa 2 - 3 Sivasspor,4,15,11,0.3333333333333333
6,7,44,CD Leganes,Malaga 0 - 2 CD Leganes,39,89,50,0.7647058823529411
7,7,44,Excelsior,La Haye 1 - 2 Excelsior,4,10,6,0.5714285714285714
8,9,42,Royal Antwerp,Royal Antwerp 3 - 0 Zulte-Waregem,19,28,9,1.9
9,10,40,FC Zürich,Thoune 1 - 3 FC Zürich,14,20,6,2.0
10,11,39,Wolfsbourg,Leverkusen 2 - 2 Wolfsbourg,86,153,67,1.2647058823529411
11,11,39,PSV,VVV Venlo 2 - 5 PSV,90,104,14,6.0
12,13,38,Willem II,Willem II 3 - 1 Twente,6,9,3,1.5
13,14,37,FC Bruges,KV Ostende 2 - 3 FC Bruges,87,102,15,5.4375
14,15,36,M'Gladbach,Brême 0 - 2 M'Gladbach,45,75,30,1.4516129032258065
15,15,36,Villarreal,FC Gérone 1 - 2 Villarreal,100,105,5,16.666666666666668
16,15,36,Montpellier,Montpellier 2 - 0 Nice,43,1010,967,0.04442148760330578
17,15,36,Inter Milan,Inter Milan 3 - 2 Milan,174,338,164,1.0545454545454545
18,19,35,Newcastle,Southampton 2 - 2 Newcastle,93,129,36,2.5135135135135136
19,19,35,Strasbourg,Strasbourg 3 - 3 Marseille,144,703,559,0.2571428571428571
20,21,34,Nantes,Bordeaux 1 - 1 Nantes,396,577,181,2.1758241758241756
21,22,29,Fenerbahce,Fenerbahce 3 - 1 Yeni Malatyaspor,93,97,4,18.6
22,22,29,Standard Liège,Standard Liège 3 - 1 KV Courtrai,42,67,25,1.6153846153846154
23,24,28,Crotone FC,Crotone FC 2 - 2 Torino FC,4,59,55,0.07142857142857142
24,24,28,Bologne,Bologne 2 - 1 SPAL 2013,29,37,8,3.2222222222222223
25,26,26,Fiorentina AC,Fiorentina AC 2 - 1 Udinese,75,91,16,4.411764705882353
26,27,25,Marseille,Strasbourg 3 - 3 Marseille,559,703,144,3.8551724137931034
27,28,22,Heracles,Heracles 1 - 1 Arnheim,9,16,7,1.125
28,29,21,Torino FC,Crotone FC 2 - 2 Torino FC,55,59,4,11.0
29,29,21,B & H Albion,B & H Albion 1 - 1 Everton,63,259,196,0.3197969543147208
30,31,20,Groningue,Groningue 1 - 1 Alkmaar,5,18,13,0.35714285714285715
31,31,20,Lucerne,Grasshopper 1 - 1 Lucerne,2,48,46,0.0425531914893617
32,33,19,La Corogne,SD Eibar 0 - 0 La Corogne,23,33,10,2.090909090909091
33,33,19,Southampton,Southampton 2 - 2 Newcastle,36,129,93,0.3829787234042553
34,35,18,Leverkusen,Leverkusen 2 - 2 Wolfsbourg,67,153,86,0.7701149425287356
35,35,18,Chievo,US Sassuolo 0 - 0 Chievo,19,29,10,1.7272727272727273
36,35,18,Everton,B & H Albion 1 - 1 Everton,196,259,63,3.0625
37,38,17,Grasshopper,Grasshopper 1 - 1 Lucerne,46,48,2,15.333333333333334
38,39,16,Arnheim,Heracles 1 - 1 Arnheim,7,16,9,0.7
39,39,16,Alkmaar,Groningue 1 - 1 Alkmaar,13,18,5,2.1666666666666665
40,41,15,Betis Séville,Betis Séville 3 - 6 Valence,42,166,124,0.336
41,42,14,Bordeaux,Bordeaux 1 - 1 Nantes,181,577,396,0.45591939546599497
42,43,11,US Sassuolo,US Sassuolo 0 - 0 Chievo,10,29,19,0.5
43,44,10,SD Eibar,SD Eibar 0 - 0 La Corogne,10,33,23,0.4166666666666667
44,44,10,Cagliari,Cagliari 2 - 3 Genoa,6,11,5,1.0
45,44,10,Kasimpasa,Kasimpasa 2 - 3 Sivasspor,11,15,4,2.2
46,44,10,VVV Venlo,VVV Venlo 2 - 5 PSV,14,104,90,0.15384615384615385
47,44,10,KV Ostende,KV Ostende 2 - 3 FC Bruges,15,102,87,0.17045454545454544
48,44,10,Milan,Inter Milan 3 - 2 Milan,164,338,174,0.9371428571428572
49,50,5,Udinese,Fiorentina AC 2 - 1 Udinese,16,91,75,0.21052631578947367
50,50,5,Atalanta Bergame,Sampdoria 3 - 1 Atalanta Bergame,31,66,35,0.8611111111111112
51,50,5,FC Gérone,FC Gérone 1 - 2 Villarreal,5,105,100,0.04950495049504951
52,50,5,Twente,Willem II 3 - 1 Twente,3,9,6,0.42857142857142855
53,50,5,La Haye,La Haye 1 - 2 Excelsior,6,10,4,1.2
54,50,5,Yeni Malatyaspor,Fenerbahce 3 - 1 Yeni Malatyaspor,4,97,93,0.0425531914893617
55,50,5,Trabzonspor,Trabzonspor 1 - 6 Akhisar Belediyespor,6,10,4,1.2
56,50,5,Thoune,Thoune 1 - 3 FC Zürich,6,20,14,0.4
57,50,5,Sion,Sion 1 - 2 St Gall,11,20,9,1.1
58,50,5,KV Courtrai,Standard Liège 3 - 1 KV Courtrai,25,67,42,0.5813953488372093
59,50,5,SPAL 2013,Bologne 2 - 1 SPAL 2013,8,37,29,0.26666666666666666
60,61,0,Malaga,Malaga 0 - 2 CD Leganes,50,89,39,1.25
61,61,0,Brême,Brême 0 - 2 M'Gladbach,30,75,45,0.6521739130434783
62,61,0,Nice,Montpellier 2 - 0 Nice,967,1010,43,21.977272727272727
63,61,0,Zulte-Waregem,Royal Antwerp 3 - 0 Zulte-Waregem,9,28,19,0.45
