,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,35,Luxembourg,Luxembourg 1 - 1 Bulgarie,94,165,71,1.3055555555555556
1,2,33,Lettonie,Lettonie 4 - 0 Andorre,45,69,24,1.8
2,3,31,Belgique,Belgique 4 - 0 Chypre,593,594,1,296.5
3,4,30,Grèce,Grèce 4 - 0 Gibraltar,813,824,11,67.75
4,5,29,Pays-Bas,Pays-Bas 2 - 0 Suède,267,1307,1040,0.2564841498559078
5,6,27,Bosnie Herzégovine,Estonie 1 - 2 Bosnie Herzégovine,155,216,61,2.5
6,7,26,Portugal,Portugal 2 - 0 Suisse,379,768,389,0.9717948717948718
7,8,20,France,France 2 - 1 Biélorussie,403,429,26,14.925925925925926
8,9,18,Hongrie,Hongrie 1 - 0 Féroé,68,110,42,1.5813953488372092
9,10,13,Bulgarie,Luxembourg 1 - 1 Bulgarie,71,165,94,0.7473684210526316
10,11,5,Biélorussie,France 2 - 1 Biélorussie,26,429,403,0.06435643564356436
11,11,5,Estonie,Estonie 1 - 2 Bosnie Herzégovine,61,216,155,0.391025641025641
12,13,0,Gibraltar,Grèce 4 - 0 Gibraltar,11,824,813,0.013513513513513514
13,13,0,Chypre,Belgique 4 - 0 Chypre,1,594,593,0.0016835016835016834
14,13,0,Suisse,Portugal 2 - 0 Suisse,389,768,379,1.0236842105263158
15,13,0,Andorre,Lettonie 4 - 0 Andorre,24,69,45,0.5217391304347826
16,13,0,Féroé,Hongrie 1 - 0 Féroé,42,110,68,0.6086956521739131
17,13,0,Suède,Pays-Bas 2 - 0 Suède,1040,1307,267,3.8805970149253732
