,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,70,Sporting Lokeren,Zulte-Waregem 1 - 3 Sporting Lokeren,4,10,6,0.5714285714285714
1,2,65,Burnley FC,Everton 0 - 1 Burnley FC,68,170,102,0.6601941747572816
2,3,60,Hellas Vérone,Torino FC 2 - 2 Hellas Vérone,12,21,9,1.2
3,3,60,Hertha Berlin,Hertha Berlin 2 - 2 Bayern Munich,58,119,61,0.9354838709677419
4,5,58,Roda,Sparta Rotterdam 1 - 2 Roda,2,6,4,0.4
5,6,52,Marseille,Nice 2 - 4 Marseille,96,531,435,0.22018348623853212
6,7,50,CS Maritimo,CS Maritimo 1 - 1 Benfica,33,48,15,2.0625
7,8,49,Fribourg,Fribourg 3 - 2 Hoffenheim,25,66,41,0.5952380952380952
8,9,46,Feyenoord,Alkmaar 0 - 4 Feyenoord,20,40,20,0.9523809523809523
9,9,46,Braga,Braga 6 - 0 Estoril-Praia,6,6,0,6.0
10,11,45,Lazio,Lazio 6 - 1 US Sassuolo,72,79,7,9.0
11,11,45,Troyes,Troyes 2 - 1 Saint-Etienne,50,488,438,0.11389521640091116
12,13,44,Young Boys,Young Boys 6 - 1 St Gall,13,32,19,0.65
13,14,40,Alanyaspor,Alanyaspor 4 - 1 Genclerbirligi,7,9,2,2.3333333333333335
14,15,39,Betis Séville,Real Sociedad 4 - 4 Betis Séville,65,113,48,1.3265306122448979
15,15,39,Chievo,Chievo 2 - 1 Fiorentina AC,19,102,83,0.2261904761904762
16,17,38,AS Rome,Milan 0 - 2 AS Rome,101,255,154,0.6516129032258065
17,18,36,Ajax,Heerenven 0 - 4 Ajax,10,67,57,0.1724137931034483
18,19,35,Trabzonspor,Besiktas 2 - 2 Trabzonspor,4,41,37,0.10526315789473684
19,20,34,Atalanta Bergame,Atalanta Bergame 2 - 2 Juventus,17,177,160,0.10559006211180125
20,21,33,Villarreal,Villarreal 3 - 0 SD Eibar,46,51,5,7.666666666666667
21,22,32,Valence,Valence 3 - 2 Athl. Bilbao,95,133,38,2.4358974358974357
22,22,32,Angers,Angers 3 - 3 Lyon,165,603,438,0.37585421412300685
23,22,32,Thoune,Thoune 2 - 0 Lucerne,7,8,1,3.5
24,25,31,İstanbul Basaksehir,Goztepe AS 1 - 2 İstanbul Basaksehir,1,21,20,0.047619047619047616
25,26,30,FC Zürich,FC Zürich 3 - 0 FC Lugano,4,9,5,0.6666666666666666
26,26,30,Real Sociedad,Real Sociedad 4 - 4 Betis Séville,48,113,65,0.7272727272727273
27,26,30,Newcastle,Newcastle 1 - 1 Liverpool,115,230,115,0.9913793103448276
28,26,30,RB Leipzig,Cologne 1 - 2 RB Leipzig,71,105,34,2.0285714285714285
29,30,28,CF Belenenses,CF Belenenses 1 - 0 Guimaraes,8,14,6,1.1428571428571428
30,31,27,FC Bruges,FC Bruges 2 - 1 La Gantoise,16,28,12,1.2307692307692308
31,32,26,Crotone FC,SPAL 2013 1 - 1 Crotone FC,23,34,11,1.9166666666666667
32,32,26,Naples,Naples 3 - 0 Cagliari,146,157,11,12.166666666666666
33,32,26,Lyon,Angers 3 - 3 Lyon,438,603,165,2.63855421686747
34,32,26,Barcelone,Barcelone 3 - 0 Las Palmas,372,399,27,13.285714285714286
35,36,23,Inter Milan,Benevento Calcio 1 - 2 Inter Milan,68,86,18,3.5789473684210527
36,36,23,Arsenal,Arsenal 2 - 0 B & H Albion,57,72,15,3.5625
37,38,21,Anderlecht,Anderlecht 1 - 0 Standard Liège,6,32,26,0.2222222222222222
38,38,21,Real Madrid,Real Madrid 2 - 0 Espanyol,157,180,23,6.541666666666667
39,40,20,Atiker Konyaspor 1922,Yeni Malatyaspor 1 - 1 Atiker Konyaspor 1922,4,7,3,1.0
40,40,20,Utrecht,Arnheim 1 - 1 Utrecht,9,25,16,0.5294117647058824
41,42,19,Besiktas,Besiktas 2 - 2 Trabzonspor,37,41,4,7.4
42,42,19,Juventus,Atalanta Bergame 2 - 2 Juventus,160,177,17,8.88888888888889
43,44,17,Torino FC,Torino FC 2 - 2 Hellas Vérone,9,21,12,0.6923076923076923
44,44,17,Vitoria,CF Belenenses 0 - 0 Vitoria,1,9,8,0.1111111111111111
45,44,17,Bayern Munich,Hertha Berlin 2 - 2 Bayern Munich,61,119,58,1.0338983050847457
46,44,17,Arnheim,Arnheim 1 - 1 Utrecht,16,25,9,1.6
47,44,17,Yeni Malatyaspor,Yeni Malatyaspor 1 - 1 Atiker Konyaspor 1922,3,7,4,0.6
48,49,15,SPAL 2013,SPAL 2013 1 - 1 Crotone FC,11,34,23,0.4583333333333333
49,50,14,Liverpool,Newcastle 1 - 1 Liverpool,115,230,115,0.9913793103448276
50,51,13,Sporting,Sporting 0 - 0 Porto,8,77,69,0.11428571428571428
51,51,13,Porto,Sporting 0 - 0 Porto,69,77,8,7.666666666666667
52,53,12,Benfica,CS Maritimo 1 - 1 Benfica,15,48,33,0.4411764705882353
53,53,12,CF Belenenses,CF Belenenses 0 - 0 Vitoria,8,9,1,4.0
54,55,10,Athl. Bilbao,Valence 3 - 2 Athl. Bilbao,38,133,95,0.3958333333333333
55,55,10,Nice,Nice 2 - 4 Marseille,435,531,96,4.484536082474227
56,55,10,Hoffenheim,Fribourg 3 - 2 Hoffenheim,41,66,25,1.5769230769230769
57,58,5,Zulte-Waregem,Zulte-Waregem 1 - 3 Sporting Lokeren,6,10,4,1.2
58,58,5,Cologne,Cologne 1 - 2 RB Leipzig,34,105,71,0.4722222222222222
59,58,5,Fiorentina AC,Chievo 2 - 1 Fiorentina AC,83,102,19,4.15
60,58,5,US Sassuolo,Lazio 6 - 1 US Sassuolo,7,79,72,0.0958904109589041
61,58,5,Benevento Calcio,Benevento Calcio 1 - 2 Inter Milan,18,86,68,0.2608695652173913
62,58,5,Saint-Etienne,Troyes 2 - 1 Saint-Etienne,438,488,50,8.588235294117647
63,58,5,Genclerbirligi,Alanyaspor 4 - 1 Genclerbirligi,2,9,7,0.25
64,58,5,St Gall,Young Boys 6 - 1 St Gall,19,32,13,1.3571428571428572
65,58,5,Sparta Rotterdam,Sparta Rotterdam 1 - 2 Roda,4,6,2,1.3333333333333333
66,58,5,La Gantoise,FC Bruges 2 - 1 La Gantoise,12,28,16,0.7058823529411765
67,58,5,Goztepe AS,Goztepe AS 1 - 2 İstanbul Basaksehir,20,21,1,10.0
68,69,0,Cagliari,Naples 3 - 0 Cagliari,11,157,146,0.07482993197278912
69,69,0,Espanyol,Real Madrid 2 - 0 Espanyol,23,180,157,0.14556962025316456
70,69,0,SD Eibar,Villarreal 3 - 0 SD Eibar,5,51,46,0.10638297872340426
71,69,0,Milan,Milan 0 - 2 AS Rome,154,255,101,1.5098039215686274
72,69,0,Las Palmas,Barcelone 3 - 0 Las Palmas,27,399,372,0.07238605898123325
73,69,0,Estoril-Praia,Braga 6 - 0 Estoril-Praia,0,6,6,0.0
74,69,0,B & H Albion,Arsenal 2 - 0 B & H Albion,15,72,57,0.25862068965517243
75,69,0,Guimaraes,CF Belenenses 1 - 0 Guimaraes,6,14,8,0.6666666666666666
76,69,0,Lucerne,Thoune 2 - 0 Lucerne,1,8,7,0.125
77,69,0,Everton,Everton 0 - 1 Burnley FC,102,170,68,1.4782608695652173
78,69,0,Standard Liège,Anderlecht 1 - 0 Standard Liège,26,32,6,3.7142857142857144
79,69,0,Heerenven,Heerenven 0 - 4 Ajax,57,67,10,5.181818181818182
80,69,0,FC Lugano,FC Zürich 3 - 0 FC Lugano,5,9,4,1.0
81,69,0,Alkmaar,Alkmaar 0 - 4 Feyenoord,20,40,20,0.9523809523809523
