,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,58,CD Alaves,Levante 0 - 2 CD Alaves,16,38,22,0.6956521739130435
1,2,55,Caen,Rennes 0 - 1 Caen,123,305,182,0.6721311475409836
2,3,48,Udinese,Udinese 4 - 0 Sampdoria,27,100,73,0.36486486486486486
3,4,41,Paris Saint Germain,Paris Saint Germain 6 - 2 Bordeaux,173,423,250,0.6892430278884463
4,5,40,Sivasspor,Sivasspor 3 - 1 Antalyaspor,4,31,27,0.14285714285714285
5,5,40,La Haye,NAC Breda 0 - 1 La Haye,4,13,9,0.4
6,5,40,Stoke,Stoke 2 - 1 Southampton,112,130,18,5.894736842105263
7,8,39,VVV Venlo,Excelsior 0 - 2 VVV Venlo,2,4,2,0.6666666666666666
8,9,38,Bologne,Genoa 0 - 1 Bologne,16,62,46,0.3404255319148936
9,9,38,Paços Ferreira,Paços Ferreira 3 - 2 Moreirense FC,4,5,1,2.0
10,11,36,PEC Zwolle,PEC Zwolle 3 - 2 Groningue,4,8,4,0.8
11,12,35,Kayserispor,Kayserispor 3 - 1 Bursaspor,4,7,3,1.0
12,12,35,Waasland-Beveren,Waasland-Beveren 3 - 0 Royal Antwerp,2,30,28,0.06896551724137931
13,12,35,KV Ostende,KV Courtrai 1 - 2 KV Ostende,4,18,14,0.26666666666666666
14,15,34,KAS Eupen,KAS Eupen 3 - 3 KRC Genk,5,14,9,0.5
15,15,34,Tottenham,Huddersfield T. 0 - 4 Tottenham,107,154,47,2.2291666666666665
16,15,34,Osmanlispor,Osmanlispor 3 - 0 Kasimpasa,0,18,18,0.0
17,18,33,Manch. City,Chelsea 0 - 1 Manch. City,159,350,191,0.828125
18,19,32,PSV,PSV 4 - 0 Willem II,52,58,6,7.428571428571429
19,19,32,La Corogne,La Corogne 2 - 1 Getafe,31,71,40,0.7560975609756098
20,19,32,Manch. Utd,Manch. Utd 4 - 0 Crystal Palace,353,388,35,9.805555555555555
21,22,31,Lille,Amiens 0 - 1 Lille,353,525,172,2.040462427745665
22,22,31,CD Aves,Portimonense 2 - 2 CD Aves,1,4,3,0.25
23,24,30,CD Leganes,CD Leganes 0 - 0 Atl. Madrid,17,162,145,0.11643835616438356
24,24,30,E. Francfort,E. Francfort 2 - 1 Stuttgart,8,23,15,0.5
25,26,29,Rio Ave,Rio Ave 2 - 1 Vitoria,2,4,2,0.6666666666666666
26,27,28,Galatasaray,Galatasaray 3 - 2 Karabükspor,27,31,4,5.4
27,27,28,Toulouse,Guingamp 1 - 1 Toulouse,141,264,123,1.1370967741935485
28,27,28,Watford FC,West Bromwich 2 - 2 Watford FC,63,78,15,3.9375
29,30,27,FC Malines,Mouscron-Péruwelz 2 - 2 FC Malines,3,18,15,0.1875
30,30,27,M'Gladbach,M'Gladbach 2 - 1 Hanovre,17,72,55,0.30357142857142855
31,32,26,Dortmund,Augsbourg 1 - 2 Dortmund,146,182,36,3.945945945945946
32,33,25,KRC Genk,KAS Eupen 3 - 3 KRC Genk,9,14,5,1.5
33,33,25,Boavista FC,Boavista FC 1 - 0 CD Feirense,4,7,3,1.0
34,33,25,Grasshopper,Grasshopper 0 - 0 Bâle,20,43,23,0.8333333333333334
35,36,24,FC Séville,FC Séville 2 - 0 Malaga,45,57,12,3.4615384615384617
36,36,24,Strasbourg,Dijon 1 - 1 Strasbourg,141,290,149,0.94
37,36,24,West Ham,West Ham 1 - 0 Swansea City,41,99,58,0.6949152542372882
38,39,23,Mayence,Wolfsbourg 1 - 1 Mayence,5,104,99,0.05
39,40,22,West Bromwich,West Bromwich 2 - 2 Watford FC,15,78,63,0.234375
40,40,22,Reims,Reims 1 - 0 Clermont Foot,27,46,19,1.35
41,40,22,Nantes,Nantes 1 - 0 Metz,148,204,56,2.5964912280701755
42,43,21,Mouscron-Péruwelz,Mouscron-Péruwelz 2 - 2 FC Malines,15,18,3,3.75
43,44,20,Portimonense,Portimonense 2 - 2 CD Aves,3,4,1,1.5
44,45,16,Venlo VVV Youth,Excelsior 0 - 0 Venlo VVV Youth,0,2,2,0.0
45,45,16,Dijon,Dijon 1 - 1 Strasbourg,149,290,141,1.0492957746478873
46,45,16,Wolfsbourg,Wolfsbourg 1 - 1 Mayence,99,104,5,16.5
47,48,15,Guingamp,Guingamp 1 - 1 Toulouse,123,264,141,0.8661971830985915
48,49,14,Brême,Hambourg 0 - 0 Brême,11,75,64,0.16923076923076924
49,49,14,Hambourg,Hambourg 0 - 0 Brême,64,75,11,5.333333333333333
50,49,14,Bournemouth,Bournemouth 0 - 0 Leicester City,3,136,133,0.022388059701492536
51,52,13,Leicester City,Bournemouth 0 - 0 Leicester City,133,136,3,33.25
52,53,12,Excelsior,Excelsior 0 - 0 Venlo VVV Youth,2,2,0,2.0
53,54,10,Bordeaux,Paris Saint Germain 6 - 2 Bordeaux,250,423,173,1.4367816091954022
54,54,10,Karabükspor,Galatasaray 3 - 2 Karabükspor,4,31,27,0.14285714285714285
55,54,10,Groningue,PEC Zwolle 3 - 2 Groningue,4,8,4,0.8
56,54,10,Moreirense FC,Paços Ferreira 3 - 2 Moreirense FC,1,5,4,0.2
57,58,8,Bâle,Grasshopper 0 - 0 Bâle,23,43,20,1.0952380952380953
