,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,39,Betis Séville,Betis Séville 4 - 0 Levante,595,865,270,2.195571955719557
1,2,35,Antalyaspor,Antalyaspor 3 - 0 Osmanlispor,505,540,35,14.027777777777779
2,3,29,Clermont Foot,Clermont Foot 1 - 0 Lens,575,1087,512,1.1208576998050683
3,4,24,Boavista FC,Vitoria 1 - 1 Boavista FC,161,321,160,1.0
4,5,23,Arsenal,Arsenal 2 - 0 West Bromwich,1376,1587,211,6.490566037735849
5,6,16,Vitoria,Vitoria 1 - 1 Boavista FC,160,321,161,0.9876543209876543
6,7,0,Lens,Clermont Foot 1 - 0 Lens,512,1087,575,0.8888888888888888
7,7,0,Osmanlispor,Antalyaspor 3 - 0 Osmanlispor,35,540,505,0.0691699604743083
8,7,0,Levante,Betis Séville 4 - 0 Levante,270,865,595,0.45302013422818793
9,7,0,West Bromwich,Arsenal 2 - 0 West Bromwich,211,1587,1376,0.1532316630355846
