,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,73,Hellas Vérone,Hellas Vérone 3 - 0 Milan,53,88,35,1.4722222222222223
1,2,70,Hertha Berlin,RB Leipzig 2 - 3 Hertha Berlin,25,115,90,0.27472527472527475
2,3,65,Yeni Malatyaspor,Yeni Malatyaspor 2 - 1 Galatasaray,3,28,25,0.11538461538461539
3,3,65,Lausanne-Sport,Lausanne-Sport 5 - 1 FC Zürich,24,27,3,6.0
4,5,49,Feyenoord,Sparta Rotterdam 0 - 7 Feyenoord,5,20,15,0.3125
5,6,48,Heracles,Utrecht 1 - 1 Heracles,5,9,4,1.0
6,6,48,Royal Antwerp,Zulte-Waregem 1 - 2 Royal Antwerp,61,74,13,4.357142857142857
7,8,45,FC Bruges,FC Bruges 5 - 0 Anderlecht,34,97,63,0.53125
8,9,43,US Sassuolo,Sampdoria 0 - 1 US Sassuolo,8,56,48,0.16326530612244897
9,10,42,Hanovre,Hanovre 4 - 4 Leverkusen,60,85,25,2.3076923076923075
10,11,39,Benfica,CD Tondela 1 - 5 Benfica,16,21,5,2.6666666666666665
11,12,37,Young Boys,Lucerne 2 - 4 Young Boys,7,24,17,0.3888888888888889
12,12,37,SPAL 2013,Benevento Calcio 1 - 2 SPAL 2013,39,96,57,0.6724137931034483
13,12,37,Excelsior,Excelsior 2 - 0 Groningue,5,8,3,1.25
14,12,37,Kayserispor,Akhisar Belediyespor 0 - 2 Kayserispor,26,34,8,2.888888888888889
15,12,37,Besiktas,Besiktas 5 - 1 Osmanlispor,39,45,6,5.571428571428571
16,17,36,Villarreal,Celta Vigo 0 - 1 Villarreal,84,125,41,2.0
17,18,35,Liverpool,Bournemouth 0 - 4 Liverpool,142,194,52,2.6792452830188678
18,19,34,İstanbul Basaksehir,İstanbul Basaksehir 4 - 1 Antalyaspor,15,29,14,1.0
19,20,32,Crotone FC,Crotone FC 1 - 0 Chievo,24,36,12,1.8461538461538463
20,21,31,Barcelone,Barcelone 4 - 0 La Corogne,328,378,50,6.431372549019608
21,21,31,Lyon,Lyon 2 - 0 Marseille,364,666,302,1.2013201320132014
22,23,30,Ajax,Alkmaar 1 - 2 Ajax,17,30,13,1.2142857142857142
23,23,30,Genoa,Fiorentina AC 0 - 0 Genoa,16,38,22,0.6956521739130435
24,23,30,Lazio,Atalanta Bergame 3 - 3 Lazio,171,212,41,4.071428571428571
25,26,29,Leverkusen,Hanovre 4 - 4 Leverkusen,25,85,60,0.4098360655737705
26,26,29,Juventus,Bologne 0 - 3 Juventus,111,115,4,22.2
27,28,28,Nice,Nice 1 - 0 Bordeaux,499,581,82,6.0120481927710845
28,28,28,FC Gérone,FC Gérone 1 - 0 Getafe,21,45,24,0.84
29,30,27,Atalanta Bergame,Atalanta Bergame 3 - 3 Lazio,41,212,171,0.23837209302325582
30,31,26,Manch. Utd,West Bromwich 1 - 2 Manch. Utd,180,209,29,6.0
31,31,26,Nantes,Nantes 1 - 0 Angers,219,302,83,2.607142857142857
32,33,25,Bâle,Grasshopper 0 - 2 Bâle,7,28,21,0.3181818181818182
