,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,80,Apoel Nicosie,Apoel Nicosie 1 - 1 Dortmund,25,525,500,0.0499001996007984
1,2,70,Spartak,Spartak 5 - 1 FC Séville,214,315,101,2.0980392156862746
2,3,65,Besiktas,Monaco 1 - 2 Besiktas,359,513,154,2.3161290322580643
3,4,47,Liverpool,NK Maribor 0 - 7 Liverpool,224,303,79,2.8
4,5,40,Tottenham,Real Madrid 1 - 1 Tottenham,163,423,260,0.6245210727969349
5,6,36,RB Leipzig,RB Leipzig 3 - 2 Porto,249,1125,876,0.2839224629418472
6,7,32,Shakhtar,Feyenoord 1 - 2 Shakhtar,258,505,247,1.0403225806451613
7,8,26,Manch. City,Manch. City 2 - 1 Naples,504,759,255,1.96875
8,9,12,Real Madrid,Real Madrid 1 - 1 Tottenham,260,423,163,1.5853658536585367
9,10,11,Dortmund,Apoel Nicosie 1 - 1 Dortmund,500,525,25,19.23076923076923
10,11,10,Porto,RB Leipzig 3 - 2 Porto,876,1125,249,3.504
11,12,5,Feyenoord,Feyenoord 1 - 2 Shakhtar,247,505,258,0.9536679536679536
12,12,5,Monaco,Monaco 1 - 2 Besiktas,154,513,359,0.42777777777777776
13,12,5,FC Séville,Spartak 5 - 1 FC Séville,101,315,214,0.4697674418604651
14,12,5,Naples,Manch. City 2 - 1 Naples,255,759,504,0.504950495049505
15,16,0,NK Maribor,NK Maribor 0 - 7 Liverpool,79,303,224,0.3511111111111111
