,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,50,CF Belenenses,CF Belenenses 1 - 1 Benfica,56,463,407,0.13725490196078433
1,2,45,Portimonense,Portimonense 4 - 1 Rio Ave,244,587,343,0.7093023255813954
2,3,44,Lorient,Reims 0 - 1 Lorient,145,567,422,0.34278959810874704
3,4,37,İstanbul Basaksehir,İstanbul Basaksehir 5 - 0 Karabükspor,435,509,74,5.8
4,5,33,Celta Vigo,Celta Vigo 3 - 2 Betis Séville,801,1355,554,1.4432432432432432
5,6,29,Paços Ferreira,Paços Ferreira 2 - 1 CD Feirense,108,216,108,0.9908256880733946
6,7,12,Benfica,CF Belenenses 1 - 1 Benfica,407,463,56,7.140350877192983
7,8,10,Betis Séville,Celta Vigo 3 - 2 Betis Séville,554,1355,801,0.6907730673316709
8,9,5,Rio Ave,Portimonense 4 - 1 Rio Ave,343,587,244,1.4
9,9,5,CD Feirense,Paços Ferreira 2 - 1 CD Feirense,108,216,108,0.9908256880733946
10,11,0,Karabükspor,İstanbul Basaksehir 5 - 0 Karabükspor,74,509,435,0.16972477064220184
11,11,0,Reims,Reims 0 - 1 Lorient,422,567,145,2.8904109589041096
