,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,34,Valence,Valence 4 - 0 Las Palmas,441,541,100,4.366336633663367
1,2,32,Monaco,Nice 1 - 2 Monaco,1346,1903,557,2.412186379928315
2,3,26,Atl. Madrid,Atl. Madrid 3 - 0 Club Lleida Esportiu,693,727,34,19.8
3,4,22,Vitoria,CD Tondela 1 - 1 Vitoria,64,377,313,0.20382165605095542
4,5,21,Boavista FC,CF Belenenses 1 - 1 Boavista FC,195,364,169,1.1470588235294117
5,6,17,CD Tondela,CD Tondela 1 - 1 Vitoria,313,377,64,4.815384615384615
6,6,17,CF Belenenses,CF Belenenses 1 - 1 Boavista FC,169,364,195,0.8622448979591837
7,8,5,Nice,Nice 1 - 2 Monaco,557,1903,1346,0.4135115070527097
8,9,0,Las Palmas,Valence 4 - 0 Las Palmas,100,541,441,0.22624434389140272
9,9,0,Club Lleida Esportiu,Atl. Madrid 3 - 0 Club Lleida Esportiu,34,727,693,0.04899135446685879
