,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,105,Auxerre,Nantes 3 - 4 Auxerre,152,290,138,1.0935251798561152
1,2,70,FC Chambly,Chateauroux 4 - 5 FC Chambly,73,283,210,0.3459715639810427
2,3,50,Bourg-Péronnas,Bourg-Péronnas 2 - 0 Toulouse,242,385,143,1.6805555555555556
3,4,45,KV Courtrai,Mouscron-Péruwelz 0 - 3 KV Courtrai,51,112,61,0.8225806451612904
4,5,44,FC Séville,FC Séville 3 - 1 Atl. Madrid,385,863,478,0.8037578288100209
5,6,40,US Granville,US Granville 3 - 2 Concarneau,256,406,150,1.695364238410596
6,7,38,Zulte-Waregem,Zulte-Waregem 2 - 1 Standard Liège,70,298,228,0.3056768558951965
7,8,37,Caen,Canet Roussillon 4 - 5 Caen,146,290,144,1.006896551724138
8,9,32,Saint-Trond,Saint-Trond 2 - 0 FC Malines,159,178,19,7.95
9,10,28,Sochaux,Colomiers 1 - 2 Sochaux,165,263,98,1.6666666666666667
10,11,22,Marseille,Epinal 0 - 2 Marseille,300,357,57,5.172413793103448
11,12,21,Lens,Saint Brieuc 0 - 1 Lens,103,162,59,1.7166666666666666
12,13,20,Chateauroux,Chateauroux 4 - 5 FC Chambly,210,283,73,2.8378378378378377
13,13,20,Canet Roussillon,Canet Roussillon 4 - 5 Caen,144,290,146,0.9795918367346939
14,15,15,Nantes,Nantes 3 - 4 Auxerre,138,290,152,0.9019607843137255
15,16,10,Concarneau,US Granville 3 - 2 Concarneau,150,406,256,0.5836575875486382
16,17,5,Colomiers,Colomiers 1 - 2 Sochaux,98,263,165,0.5903614457831325
17,17,5,Atl. Madrid,FC Séville 3 - 1 Atl. Madrid,478,863,385,1.238341968911917
18,17,5,Standard Liège,Zulte-Waregem 2 - 1 Standard Liège,228,298,70,3.211267605633803
19,20,0,Saint Brieuc,Saint Brieuc 0 - 1 Lens,59,162,103,0.5673076923076923
20,20,0,Mouscron-Péruwelz,Mouscron-Péruwelz 0 - 3 KV Courtrai,61,112,51,1.1730769230769231
21,20,0,Toulouse,Bourg-Péronnas 2 - 0 Toulouse,143,385,242,0.588477366255144
22,20,0,FC Malines,Saint-Trond 2 - 0 FC Malines,19,178,159,0.11875
23,20,0,Epinal,Epinal 0 - 2 Marseille,57,357,300,0.1893687707641196
