,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,75,Sampdoria,Sampdoria 3 - 2 Juventus,85,231,146,0.5782312925170068
1,2,58,Levante,Las Palmas 0 - 2 Levante,49,70,21,2.227272727272727
2,3,51,Groningue,Groningue 4 - 2 Arnheim,14,23,9,1.4
3,4,44,Lausanne-Sport,Lausanne-Sport 3 - 1 Lucerne,23,26,3,5.75
4,5,43,Cagliari,Udinese 0 - 1 Cagliari,4,33,29,0.13333333333333333
5,6,42,Brême,Brême 4 - 0 Hanovre,45,122,77,0.5769230769230769
6,6,42,La Haye,La Haye 4 - 1 Heracles,5,9,4,1.0
7,8,41,Montpellier,Lyon 0 - 0 Montpellier,137,576,439,0.31136363636363634
8,9,39,Malaga,Malaga 3 - 2 La Corogne,17,42,25,0.6538461538461539
9,10,38,Trabzonspor,Trabzonspor 4 - 3 Osmanlispor,4,4,0,4.0
10,10,38,Kayserispor,Genclerbirligi 1 - 2 Kayserispor,25,33,8,2.7777777777777777
11,12,36,Fenerbahce,Fenerbahce 4 - 1 Sivasspor,50,57,7,6.25
12,13,34,Valence,Espanyol 0 - 2 Valence,416,433,17,23.11111111111111
13,14,33,La Gantoise,Sporting Lokeren 0 - 3 La Gantoise,7,44,37,0.18421052631578946
14,14,33,Watford FC,Watford FC 2 - 0 West Ham,104,196,92,1.118279569892473
15,16,31,US Sassuolo,Benevento Calcio 1 - 2 US Sassuolo,37,76,39,0.925
16,17,30,Grasshopper,Grasshopper 2 - 0 Thoune,20,21,1,10.0
17,17,30,Utrecht,Utrecht 3 - 1 Excelsior,12,60,48,0.24489795918367346
18,17,30,KRC Genk,Zulte-Waregem 0 - 1 KRC Genk,9,36,27,0.32142857142857145
19,20,29,FC Bruges,FC Bruges 3 - 0 Waasland-Beveren,55,67,12,4.230769230769231
20,21,28,Genoa,Crotone FC 0 - 1 Genoa,12,37,25,0.46153846153846156
21,22,27,Young Boys,Young Boys 2 - 1 FC Zürich,29,49,20,1.380952380952381
22,22,27,Chievo,Torino FC 1 - 1 Chievo,6,44,38,0.15384615384615385
23,22,27,Inter Milan,Inter Milan 2 - 0 Atalanta Bergame,171,192,21,7.7727272727272725
24,22,27,Schalke 04,Schalke 04 2 - 0 Hambourg,93,120,27,3.3214285714285716
25,26,24,SPAL 2013,SPAL 2013 1 - 1 Fiorentina AC,12,77,65,0.18181818181818182
26,26,24,Alanyaspor,Alanyaspor 1 - 0 Yeni Malatyaspor,9,13,4,1.8
27,28,22,Villarreal,Athl. Bilbao 1 - 1 Villarreal,72,112,40,1.7560975609756098
28,29,21,Marseille,Bordeaux 1 - 1 Marseille,670,892,222,3.004484304932735
29,29,21,Alkmaar,Roda 0 - 1 Alkmaar,5,22,17,0.2777777777777778
30,29,21,PSV,PEC Zwolle 0 - 1 PSV,74,95,21,3.3636363636363638
31,32,20,Nice,Caen 1 - 1 Nice,397,493,96,4.092783505154639
32,33,18,Caen,Caen 1 - 1 Nice,96,493,397,0.24120603015075376
33,34,17,Bordeaux,Bordeaux 1 - 1 Marseille,222,892,670,0.33084947839046197
34,35,16,Athl. Bilbao,Athl. Bilbao 1 - 1 Villarreal,40,112,72,0.547945205479452
35,36,15,Fiorentina AC,SPAL 2013 1 - 1 Fiorentina AC,65,77,12,5.0
36,36,15,Osmanlispor,Trabzonspor 4 - 3 Osmanlispor,0,4,4,0.0
37,38,14,Torino FC,Torino FC 1 - 1 Chievo,38,44,6,5.428571428571429
38,39,10,Arnheim,Groningue 4 - 2 Arnheim,9,23,14,0.6
39,39,10,La Corogne,Malaga 3 - 2 La Corogne,25,42,17,1.3888888888888888
40,39,10,Juventus,Sampdoria 3 - 2 Juventus,146,231,85,1.697674418604651
41,42,7,Lyon,Lyon 0 - 0 Montpellier,439,576,137,3.181159420289855
42,43,5,Benevento Calcio,Benevento Calcio 1 - 2 US Sassuolo,39,76,37,1.0263157894736843
43,43,5,Sivasspor,Fenerbahce 4 - 1 Sivasspor,7,57,50,0.13725490196078433
44,43,5,FC Zürich,Young Boys 2 - 1 FC Zürich,20,49,29,0.6666666666666666
45,43,5,Genclerbirligi,Genclerbirligi 1 - 2 Kayserispor,8,33,25,0.3076923076923077
46,43,5,Heracles,La Haye 4 - 1 Heracles,4,9,5,0.6666666666666666
47,43,5,Excelsior,Utrecht 3 - 1 Excelsior,48,60,12,3.6923076923076925
48,43,5,Lucerne,Lausanne-Sport 3 - 1 Lucerne,3,26,23,0.125
49,50,0,Waasland-Beveren,FC Bruges 3 - 0 Waasland-Beveren,12,67,55,0.21428571428571427
50,50,0,Thoune,Grasshopper 2 - 0 Thoune,1,21,20,0.047619047619047616
51,50,0,Sporting Lokeren,Sporting Lokeren 0 - 3 La Gantoise,37,44,7,4.625
52,50,0,Crotone FC,Crotone FC 0 - 1 Genoa,25,37,12,1.9230769230769231
53,50,0,Yeni Malatyaspor,Alanyaspor 1 - 0 Yeni Malatyaspor,4,13,9,0.4
54,50,0,Udinese,Udinese 0 - 1 Cagliari,29,33,4,5.8
55,50,0,Espanyol,Espanyol 0 - 2 Valence,17,433,416,0.0407673860911271
56,50,0,Las Palmas,Las Palmas 0 - 2 Levante,21,70,49,0.42
57,50,0,Atalanta Bergame,Inter Milan 2 - 0 Atalanta Bergame,21,192,171,0.12209302325581395
58,50,0,Hambourg,Schalke 04 2 - 0 Hambourg,27,120,93,0.2872340425531915
59,50,0,West Ham,Watford FC 2 - 0 West Ham,92,196,104,0.8761904761904762
60,50,0,Hanovre,Brême 4 - 0 Hanovre,77,122,45,1.673913043478261
61,50,0,Roda,Roda 0 - 1 Alkmaar,17,22,5,2.8333333333333335
62,50,0,PEC Zwolle,PEC Zwolle 0 - 1 PSV,21,95,74,0.28
63,50,0,Zulte-Waregem,Zulte-Waregem 0 - 1 KRC Genk,27,36,9,2.7
