,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,175,Apoel Nicosie,Dortmund 1 - 1 Apoel Nicosie,53,427,374,0.14133333333333334
1,2,48,Tottenham,Tottenham 3 - 1 Real Madrid,343,651,308,1.110032362459547
2,3,45,Manch. City,Naples 2 - 4 Manch. City,621,851,230,2.688311688311688
3,4,38,Porto,Porto 3 - 1 RB Leipzig,416,621,205,2.0194174757281553
4,5,29,Shakhtar,Shakhtar 3 - 1 Feyenoord,66,152,86,0.7586206896551724
5,6,26,Liverpool,Liverpool 3 - 0 NK Maribor,686,711,25,26.384615384615383
6,7,25,FC Séville,FC Séville 2 - 1 Spartak,145,294,149,0.9666666666666667
7,8,21,Monaco,Besiktas 1 - 1 Monaco,434,715,281,1.5390070921985815
8,9,17,Besiktas,Besiktas 1 - 1 Monaco,281,715,434,0.6459770114942529
9,10,11,Dortmund,Dortmund 1 - 1 Apoel Nicosie,374,427,53,6.925925925925926
10,11,10,Naples,Naples 2 - 4 Manch. City,230,851,621,0.36977491961414793
11,12,5,Real Madrid,Tottenham 3 - 1 Real Madrid,308,651,343,0.8953488372093024
12,12,5,RB Leipzig,Porto 3 - 1 RB Leipzig,205,621,416,0.49160671462829736
13,12,5,Feyenoord,Shakhtar 3 - 1 Feyenoord,86,152,66,1.2835820895522387
14,12,5,Spartak,FC Séville 2 - 1 Spartak,149,294,145,1.0205479452054795
15,16,0,NK Maribor,Liverpool 3 - 0 NK Maribor,25,711,686,0.036390101892285295
