,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,57,Brest,Lens 2 - 4 Brest,25,150,125,0.1984126984126984
1,2,54,Lokeren,Waasland-Beveren 2 - 3 Lokeren,5,28,23,0.20833333333333334
2,3,53,Stoke City,Stoke City 1 - 0 Arsenal,81,343,262,0.30798479087452474
3,3,53,Real Sociedad,Celta Vigo 2 - 3 Real Sociedad,12,47,35,0.3333333333333333
4,5,50,VVV Venlo,Twente 1 - 2 VVV Venlo,2,11,9,0.2
5,6,48,Hannover 96,Mainz 05 0 - 1 Hannover 96,13,46,33,0.38235294117647056
6,6,48,Karabükspor,Karabükspor 3 - 1 İstanbul Basaksehir,6,14,8,0.6666666666666666
7,8,47,Estoril-Praia,CD Tondela 2 - 3 Estoril-Praia,9,16,7,1.125
8,9,46,Watford,AFC Bournemouth 0 - 2 Watford,145,197,52,2.7358490566037736
9,9,46,Sporting Charleroi,Genk 0 - 1 Sporting Charleroi,59,84,25,2.269230769230769
10,9,46,Antwerp,KV Mechelen 1 - 2 Antwerp,16,20,4,3.2
11,12,44,Bordeaux,Lyon 3 - 3 Bordeaux,172,386,214,0.8
12,13,43,FC Gérone,FC Gérone 2 - 2 Atl. Madrid,3,42,39,0.075
13,14,42,Sporting,Guimaraes 0 - 5 Sporting,12,16,4,2.4
14,15,41,Eupen,Eupen 2 - 1 Oostende,12,43,31,0.375
15,15,41,Thoune,Thoune 5 - 2 Lausanne-Sport,3,16,13,0.21428571428571427
16,17,40,Dijon,Rennes 2 - 2 Dijon,42,162,120,0.34710743801652894
17,18,38,Schalke 04,Schalke 04 2 - 0 RasenBallsport Leipzig,217,403,186,1.160427807486631
18,18,38,West Bromwich Albion,Burnley 0 - 1 West Bromwich Albion,67,237,170,0.391812865497076
19,20,37,Bursaspor,Bursaspor 3 - 2 Alanyaspor,7,9,2,2.3333333333333335
20,20,37,Benfica,Benfica 5 - 0 CF Belenenses,18,22,4,3.6
21,22,35,Manchester United,Swansea City 0 - 4 Manchester United,288,340,52,5.433962264150943
22,23,34,Nantes,Troyes 0 - 1 Nantes,451,668,217,2.0688073394495414
23,24,33,Galatasaray,Osmanlispor 1 - 3 Galatasaray,41,42,1,20.5
24,24,33,Borussia Dortmund,Wolfsburg 0 - 3 Borussia Dortmund,181,267,86,2.0804597701149423
25,24,33,Espanyol,FC Séville 1 - 1 Espanyol,2,14,12,0.15384615384615385
26,24,33,Heracles,Heerenven 1 - 1 Heracles,3,3,0,3.0
27,28,32,Southampton,Southampton 3 - 2 West Ham United,38,298,260,0.14559386973180077
28,29,31,Sivasspor,Sivasspor 2 - 0 Yeni Malatyaspor,7,8,1,3.5
29,29,31,Hertha Berlin,Hertha Berlin 2 - 0 VfB Stuttgart,145,182,37,3.8157894736842106
30,29,31,Saint-Etienne,Saint-Etienne 3 - 0 Amiens,141,176,35,3.9166666666666665
31,32,30,Nice,Nice 2 - 0 Guingamp,172,330,158,1.0817610062893082
32,33,29,Naples,Hellas Vérone 1 - 3 Naples,29,34,5,4.833333333333333
