,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,56,Thoune,Thoune 3 - 1 Young Boys,8,38,30,0.25806451612903225
1,2,53,Benevento Calcio,Benevento Calcio 2 - 2 Milan,45,153,108,0.41284403669724773
2,3,48,Bursaspor,Atiker Konyaspor 1922 0 - 3 Bursaspor,28,34,6,4.0
3,3,48,Roda,Roda 2 - 1 Heerenven,2,7,5,0.3333333333333333
4,5,46,Genclerbirligi,Genclerbirligi 4 - 0 Sivasspor,3,9,6,0.42857142857142855
5,6,44,CD Leganes,CD Leganes 3 - 1 Villarreal,4,103,99,0.04
6,7,41,Wolfsbourg,Wolfsbourg 3 - 0 M'Gladbach,62,143,81,0.7560975609756098
7,7,41,FC Lugano,Grasshopper 0 - 1 FC Lugano,3,15,12,0.23076923076923078
8,9,39,Inter Milan,Inter Milan 5 - 0 Chievo,163,168,5,27.166666666666668
9,10,38,Taiwan,Taiwan 3 - 0 Philippines,0,0,0,0.0
10,10,38,SD Eibar,SD Eibar 3 - 1 Espanyol,15,26,11,1.25
11,10,38,E. Francfort,Hertha Berlin 1 - 2 E. Francfort,13,78,65,0.19696969696969696
12,13,36,FC Zürich,St Gall 1 - 3 FC Zürich,4,12,8,0.4444444444444444
13,13,36,NAC Breda,NAC Breda 3 - 1 Excelsior,2,10,8,0.2222222222222222
14,13,36,KAS Eupen,KAS Eupen 2 - 2 FC Bruges,13,39,26,0.48148148148148145
15,16,35,Getafe,Getafe 1 - 0 Valence,10,598,588,0.01697792869269949
16,17,34,Guimaraes,Vitoria 1 - 2 Guimaraes,9,19,10,0.8181818181818182
17,17,34,Fenerbahce,Fenerbahce 4 - 2 Kasimpasa,25,30,5,4.166666666666667
18,19,33,CD Aves,CD Feirense 0 - 1 CD Aves,1,2,1,0.5
19,19,33,Royal Antwerp,Standard Liège 1 - 1 Royal Antwerp,25,54,29,0.8333333333333334
20,21,31,Fiorentina AC,Fiorentina AC 3 - 0 US Sassuolo,40,57,17,2.2222222222222223
