,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,48,Bâle,Bâle 1 - 0 Manch. Utd,97,602,505,0.191699604743083
1,2,46,Paris SG,Paris SG 7 - 1 Celtic,995,1022,27,35.535714285714285
2,3,33,Chelsea,Qarabag FK 0 - 4 Chelsea,261,328,67,3.838235294117647
3,4,32,CSKA,CSKA 2 - 0 Benfica,215,388,173,1.235632183908046
4,5,31,Sporting,Sporting 3 - 1 Olympiakos,56,153,97,0.5714285714285714
5,6,29,Atl. Madrid,Atl. Madrid 2 - 0 AS Rome,137,887,750,0.18242343541944075
6,7,23,Bayern Munich,Anderlecht 1 - 2 Bayern Munich,225,251,26,8.333333333333334
7,8,16,Juventus,Juventus 0 - 0 Barcelone,222,627,405,0.5467980295566502
8,9,13,Barcelone,Juventus 0 - 0 Barcelone,405,627,222,1.8161434977578474
9,10,5,Celtic,Paris SG 7 - 1 Celtic,27,1022,995,0.02710843373493976
10,10,5,Anderlecht,Anderlecht 1 - 2 Bayern Munich,26,251,225,0.11504424778761062
11,10,5,Olympiakos,Sporting 3 - 1 Olympiakos,97,153,56,1.7017543859649122
12,13,0,Manch. Utd,Bâle 1 - 0 Manch. Utd,505,602,97,5.153061224489796
13,13,0,Qarabag FK,Qarabag FK 0 - 4 Chelsea,67,328,261,0.25572519083969464
14,13,0,Benfica,CSKA 2 - 0 Benfica,173,388,215,0.8009259259259259
15,13,0,AS Rome,Atl. Madrid 2 - 0 AS Rome,750,887,137,5.434782608695652
