,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,50,Royal Antwerp,Saint-Trond 0 - 3 Royal Antwerp,172,377,205,0.8349514563106796
1,2,41,KV Courtrai,KV Courtrai 2 - 1 Standard Liège,243,595,352,0.6883852691218131
2,3,36,Milan,Milan 1 - 0 Inter Milan,643,1605,962,0.667705088265836
3,4,18,Manch. City,Newcastle 0 - 1 Manch. City,758,1007,249,3.032
4,5,14,KV Ostende,KV Ostende 0 - 0 KRC Genk,178,284,106,1.6635514018691588
5,6,13,KRC Genk,KV Ostende 0 - 0 KRC Genk,106,284,178,0.5921787709497207
6,7,5,Standard Liège,KV Courtrai 2 - 1 Standard Liège,352,595,243,1.4426229508196722
7,8,0,Inter Milan,Milan 1 - 0 Inter Milan,962,1605,643,1.4937888198757765
8,8,0,Saint-Trond,Saint-Trond 0 - 3 Royal Antwerp,205,377,172,1.1849710982658959
9,8,0,Newcastle,Newcastle 0 - 1 Manch. City,249,1007,758,0.32806324110671936
