,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,70,Valenciennes,Orleans 3 - 4 Valenciennes,88,105,17,4.888888888888889
1,2,58,Montpellier,Monaco 1 - 1 Montpellier,199,1020,821,0.24209245742092458
2,3,43,FC Gérone,Celta Vigo 3 - 3 FC Gérone,59,502,443,0.13288288288288289
3,4,41,Paris FC,Paris FC 2 - 1 Nimes,176,230,54,3.2
4,5,38,Nancy,Nancy 4 - 1 Chateauroux,23,62,39,0.575
5,6,37,Brest,Tours 1 - 2 Brest,303,319,16,17.823529411764707
6,7,36,Akhisar Belediyespor,Akhisar Belediyespor 1 - 0 Fenerbahce,12,309,297,0.040268456375838924
7,8,33,Royal Charleroi,Saint-Trond 0 - 1 Royal Charleroi,75,127,52,1.4150943396226414
8,9,30,Auxerre,Auxerre 2 - 0 Sochaux,36,99,63,0.5625
9,10,29,CD Tondela,GD Chaves 1 - 1 CD Tondela,15,69,54,0.2727272727272727
10,10,29,Niort,Niort 2 - 1 Quevilly,31,51,20,1.4761904761904763
11,10,29,Lens,Lens 2 - 0 GFC Ajaccio,57,147,90,0.6263736263736264
12,10,29,Twente,Twente 2 - 1 Heracles,189,217,28,6.517241379310345
13,14,28,AC Ajaccio,AC Ajaccio 2 - 0 Bourg en Bresse Peronnas,95,102,7,11.875
14,15,23,Celta Vigo,Celta Vigo 3 - 3 FC Gérone,443,502,59,7.383333333333334
15,16,20,Leverkusen,Schalke 04 1 - 1 Leverkusen,287,1306,1019,0.28137254901960784
16,17,17,Schalke 04,Schalke 04 1 - 1 Leverkusen,1019,1306,287,3.5381944444444446
17,18,15,Orleans,Orleans 3 - 4 Valenciennes,17,105,88,0.19101123595505617
18,19,14,GD Chaves,GD Chaves 1 - 1 CD Tondela,54,69,15,3.375
19,20,12,Monaco,Monaco 1 - 1 Montpellier,821,1020,199,4.105
20,21,5,Heracles,Twente 2 - 1 Heracles,28,217,189,0.14736842105263157
21,21,5,Tours,Tours 1 - 2 Brest,16,319,303,0.05263157894736842
22,21,5,Nimes,Paris FC 2 - 1 Nimes,54,230,176,0.3050847457627119
23,21,5,Quevilly,Niort 2 - 1 Quevilly,20,51,31,0.625
24,21,5,Chateauroux,Nancy 4 - 1 Chateauroux,39,62,23,1.625
25,26,0,Bourg en Bresse Peronnas,AC Ajaccio 2 - 0 Bourg en Bresse Peronnas,7,102,95,0.07291666666666667
26,26,0,Fenerbahce,Akhisar Belediyespor 1 - 0 Fenerbahce,297,309,12,22.846153846153847
27,26,0,Saint-Trond,Saint-Trond 0 - 1 Royal Charleroi,52,127,75,0.6842105263157895
28,26,0,GFC Ajaccio,Lens 2 - 0 GFC Ajaccio,90,147,57,1.5517241379310345
29,26,0,Sochaux,Auxerre 2 - 0 Sochaux,63,99,36,1.7027027027027026
