,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,51,La Corogne,Las Palmas 1 - 3 La Corogne,103,277,174,0.5885714285714285
1,2,46,Portimonense,Portimonense 5 - 2 Vitoria,98,187,89,1.0888888888888888
2,3,44,Kayserispor,Fenerbahce 3 - 3 Kayserispor,104,727,623,0.16666666666666666
3,4,38,Burnley FC,Burnley FC 1 - 0 Newcastle,367,772,405,0.9039408866995073
4,5,25,Espanyol,Espanyol 1 - 0 Betis Séville,183,622,439,0.4159090909090909
5,6,24,Inter Milan,Hellas Vérone 1 - 2 Inter Milan,528,591,63,8.25
6,7,23,Fenerbahce,Fenerbahce 3 - 3 Kayserispor,623,727,104,5.933333333333334
7,8,16,Chateauroux,Chateauroux 0 - 0 Lens,511,938,427,1.1939252336448598
8,9,11,Lens,Chateauroux 0 - 0 Lens,427,938,511,0.833984375
9,10,10,Vitoria,Portimonense 5 - 2 Vitoria,89,187,98,0.898989898989899
10,11,5,Las Palmas,Las Palmas 1 - 3 La Corogne,174,277,103,1.6730769230769231
11,11,5,Hellas Vérone,Hellas Vérone 1 - 2 Inter Milan,63,591,528,0.11909262759924386
12,13,0,Betis Séville,Espanyol 1 - 0 Betis Séville,439,622,183,2.385869565217391
13,13,0,Newcastle,Burnley FC 1 - 0 Newcastle,405,772,367,1.1005434782608696
