,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,52,Standard Liège,KRC Genk 0 - 2 Standard Liège,30,38,8,3.3333333333333335
1,2,47,Lyon,Nice 0 - 5 Lyon,525,709,184,2.8378378378378377
2,3,46,FC Séville,Villarreal 2 - 3 FC Séville,142,183,41,3.380952380952381
3,4,45,Las Palmas,Real Sociedad 2 - 2 Las Palmas,25,80,55,0.44642857142857145
4,5,43,Hambourg,Hambourg 3 - 0 Hoffenheim,45,94,49,0.9
5,6,42,Benfica,Benfica 6 - 0 Vitoria,41,43,2,13.666666666666666
6,7,39,Sion,Sion 3 - 0 Grasshopper,10,29,19,0.5
7,8,38,Southampton,Southampton 4 - 1 Everton,49,125,76,0.6363636363636364
8,9,36,Ajax,Ajax 5 - 1 Roda,173,195,22,7.521739130434782
9,9,36,Trabzonspor,Sivasspor 1 - 2 Trabzonspor,12,24,12,0.9230769230769231
10,11,35,Utrecht,Sparta Rotterdam 1 - 3 Utrecht,11,22,11,0.9166666666666666
11,11,35,Hertha Berlin,Cologne 0 - 2 Hertha Berlin,53,111,58,0.8983050847457628
12,13,33,Anderlecht,Anderlecht 4 - 0 KV Courtrai,20,25,5,3.3333333333333335
13,13,33,Kasimpasa,Kasimpasa 2 - 1 Atiker Konyaspor 1922,15,17,2,5.0
14,15,30,Young Boys,FC Lugano 1 - 2 Young Boys,18,27,9,1.8
15,15,30,Fiorentina AC,Lazio 1 - 1 Fiorentina AC,25,66,41,0.5952380952380952
16,15,30,Genoa,Genoa 1 - 1 AS Rome,12,73,61,0.1935483870967742
17,18,29,FC Bruges,FC Bruges 3 - 2 Zulte-Waregem,23,29,6,3.2857142857142856
18,19,27,Bursaspor,Bursaspor 2 - 1 Karabükspor,6,12,6,0.8571428571428571
19,20,26,Paris SG,Monaco 1 - 2 Paris SG,246,422,176,1.3898305084745763
20,20,26,Fenerbahce,Antalyaspor 0 - 1 Fenerbahce,34,49,15,2.125
21,20,26,Juventus,Juventus 3 - 0 Crotone FC,224,232,8,24.88888888888889
22,23,25,Arnheim,Arnheim 2 - 0 La Haye,1,22,21,0.045454545454545456
23,23,25,Valence,Valence 1 - 1 Barcelone,225,396,171,1.308139534883721
24,25,24,La Corogne,La Corogne 2 - 2 Athl. Bilbao,12,50,38,0.3076923076923077
25,25,24,FC Zürich,FC Zürich 2 - 0 Lausanne-Sport,4,34,30,0.12903225806451613
26,25,24,Torino FC,Milan 0 - 0 Torino FC,47,114,67,0.6911764705882353
27,28,23,Athl. Bilbao,La Corogne 2 - 2 Athl. Bilbao,38,50,12,2.923076923076923
28,28,23,Sporting,Paços Ferreira 1 - 2 Sporting,12,20,8,1.3333333333333333
29,28,23,PSV,Excelsior 1 - 2 PSV,29,44,15,1.8125
30,31,22,Manch. City,Huddersfield T. 1 - 2 Manch. City,214,249,35,5.944444444444445
31,31,22,Estoril-Praia,CS Maritimo 0 - 0 Estoril-Praia,2,37,35,0.05555555555555555
32,33,21,Arsenal,Burnley FC 0 - 1 Arsenal,74,219,145,0.5068493150684932
33,34,20,Marseille,Marseille 1 - 0 Guingamp,173,275,102,1.6796116504854368
34,35,19,Naples,Udinese 0 - 1 Naples,95,117,22,4.130434782608695
35,36,17,Real Sociedad,Real Sociedad 2 - 2 Las Palmas,55,80,25,2.1153846153846154
36,37,14,Barcelone,Valence 1 - 1 Barcelone,171,396,225,0.7566371681415929
37,38,13,Lazio,Lazio 1 - 1 Fiorentina AC,41,66,25,1.5769230769230769
38,38,13,AS Rome,Genoa 1 - 1 AS Rome,61,73,12,4.6923076923076925
39,40,10,Zulte-Waregem,FC Bruges 3 - 2 Zulte-Waregem,6,29,23,0.25
40,40,10,Villarreal,Villarreal 2 - 3 FC Séville,41,183,142,0.2867132867132867
41,40,10,CS Maritimo,CS Maritimo 0 - 0 Estoril-Praia,35,37,2,11.666666666666666
42,43,9,Milan,Milan 0 - 0 Torino FC,67,114,47,1.3958333333333333
43,44,5,FC Lugano,FC Lugano 1 - 2 Young Boys,9,27,18,0.47368421052631576
44,44,5,Sparta Rotterdam,Sparta Rotterdam 1 - 3 Utrecht,11,22,11,0.9166666666666666
45,44,5,Monaco,Monaco 1 - 2 Paris SG,176,422,246,0.7125506072874493
46,44,5,Sivasspor,Sivasspor 1 - 2 Trabzonspor,12,24,12,0.9230769230769231
47,44,5,Atiker Konyaspor 1922,Kasimpasa 2 - 1 Atiker Konyaspor 1922,2,17,15,0.125
48,44,5,Karabükspor,Bursaspor 2 - 1 Karabükspor,6,12,6,0.8571428571428571
49,44,5,Everton,Southampton 4 - 1 Everton,76,125,49,1.52
50,44,5,Paços Ferreira,Paços Ferreira 1 - 2 Sporting,8,20,12,0.6153846153846154
51,44,5,Huddersfield T.,Huddersfield T. 1 - 2 Manch. City,35,249,214,0.16279069767441862
52,44,5,Roda,Ajax 5 - 1 Roda,22,195,173,0.12643678160919541
53,44,5,Excelsior,Excelsior 1 - 2 PSV,15,44,29,0.5
54,55,0,KV Courtrai,Anderlecht 4 - 0 KV Courtrai,5,25,20,0.23809523809523808
55,55,0,KRC Genk,KRC Genk 0 - 2 Standard Liège,8,38,30,0.25806451612903225
56,55,0,La Haye,Arnheim 2 - 0 La Haye,21,22,1,10.5
57,55,0,Grasshopper,Sion 3 - 0 Grasshopper,19,29,10,1.7272727272727273
58,55,0,Nice,Nice 0 - 5 Lyon,184,709,525,0.34980988593155893
59,55,0,Guingamp,Marseille 1 - 0 Guingamp,102,275,173,0.5862068965517241
60,55,0,Lausanne-Sport,FC Zürich 2 - 0 Lausanne-Sport,30,34,4,6.0
61,55,0,Udinese,Udinese 0 - 1 Naples,22,117,95,0.22916666666666666
62,55,0,Crotone FC,Juventus 3 - 0 Crotone FC,8,232,224,0.035555555555555556
63,55,0,Antalyaspor,Antalyaspor 0 - 1 Fenerbahce,15,49,34,0.42857142857142855
64,55,0,Vitoria,Benfica 6 - 0 Vitoria,2,43,41,0.047619047619047616
65,55,0,Cologne,Cologne 0 - 2 Hertha Berlin,58,111,53,1.0740740740740742
66,55,0,Burnley FC,Burnley FC 0 - 1 Arsenal,145,219,74,1.9333333333333333
67,55,0,Hoffenheim,Hambourg 3 - 0 Hoffenheim,49,94,45,1.065217391304348
