,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,85,CD Numancia,Real Madrid 2 - 2 CD Numancia,27,574,547,0.04927007299270073
1,2,41,Rennes,Rennes 4 - 2 Toulouse,591,973,382,1.5430809399477807
2,3,32,Montpellier,Angers 0 - 1 Montpellier,653,984,331,1.966867469879518
3,4,28,Villarreal,Villarreal 2 - 1 CD Leganes,286,404,118,2.403361344537815
4,5,24,CD Alaves,CD Alaves 2 - 0 SD Formentera,92,142,50,1.803921568627451
5,6,22,Paris SG,Amiens 0 - 2 Paris SG,848,896,48,17.306122448979593
6,7,16,Real Madrid,Real Madrid 2 - 2 CD Numancia,547,574,27,19.535714285714285
7,8,10,Toulouse,Rennes 4 - 2 Toulouse,382,973,591,0.6452702702702703
8,9,5,CD Leganes,Villarreal 2 - 1 CD Leganes,118,404,286,0.41114982578397213
9,10,0,SD Formentera,CD Alaves 2 - 0 SD Formentera,50,142,92,0.5376344086021505
10,10,0,Amiens,Amiens 0 - 2 Paris SG,48,896,848,0.05653710247349823
11,10,0,Angers,Angers 0 - 1 Montpellier,331,984,653,0.5061162079510704
