,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,33,Strasbourg,Strasbourg 2 - 1 Lille,1114,1792,678,1.6406480117820323
1,2,30,FC Bruges,FC Bruges 3 - 2 KV Ostende,850,922,72,11.643835616438356
2,3,21,Barcelone,Barcelone 2 - 0 Espanyol,1155,1262,107,10.694444444444445
3,4,10,KV Ostende,FC Bruges 3 - 2 KV Ostende,72,922,850,0.0846063454759107
4,5,5,Lille,Strasbourg 2 - 1 Lille,678,1792,1114,0.6080717488789238
5,6,0,Espanyol,Barcelone 2 - 0 Espanyol,107,1262,1155,0.092560553633218
