,Position,Points SFL,Equipe,Match,Joueurs l'ayant choisi,total_choice,choix_autre,bet_safety
0,1,60,Leicester City,Leicester City 2 - 1 Tottenham,164,491,327,0.5
1,2,49,Nimes,Lorient 1 - 2 Nimes,89,154,65,1.3484848484848484
2,3,48,Niort,GFC Ajaccio 0 - 2 Niort,5,45,40,0.12195121951219512
3,3,48,Brest,Clermont Foot 1 - 2 Brest,38,80,42,0.8837209302325582
4,3,48,Le Havre,Nancy 0 - 3 Le Havre,56,69,13,4.0
5,6,45,Quevilly,Quevilly 4 - 0 Tours,21,41,20,1.0
6,7,43,Bourg en Bresse Peronnas,Bourg en Bresse Peronnas 4 - 0 Orleans,14,42,28,0.4827586206896552
7,8,37,Manch. Utd,Watford FC 2 - 4 Manch. Utd,424,580,156,2.700636942675159
8,9,34,Sochaux,Sochaux 3 - 1 Valenciennes,21,60,39,0.525
9,9,34,Amiens,Amiens 2 - 1 Dijon,390,562,172,2.254335260115607
10,11,33,Bordeaux,Bordeaux 3 - 0 Saint-Etienne,276,506,230,1.1948051948051948
11,12,30,Lens,Lens 2 - 0 AC Ajaccio,48,129,81,0.5853658536585366
12,13,28,Newcastle,West Bromwich 2 - 2 Newcastle,107,243,136,0.781021897810219
13,14,22,West Bromwich,West Bromwich 2 - 2 Newcastle,136,243,107,1.2592592592592593
14,15,19,Caen,Strasbourg 0 - 0 Caen,345,733,388,0.8868894601542416
15,16,15,Crystal Palace,B & H Albion 0 - 0 Crystal Palace,74,311,237,0.31092436974789917
16,17,14,Chateauroux,Chateauroux 0 - 0 Paris FC,10,34,24,0.4
17,17,14,B & H Albion,B & H Albion 0 - 0 Crystal Palace,237,311,74,3.16
18,17,14,Paris FC,Chateauroux 0 - 0 Paris FC,24,34,10,2.1818181818181817
19,20,11,Strasbourg,Strasbourg 0 - 0 Caen,388,733,345,1.1213872832369942
20,21,10,Watford FC,Watford FC 2 - 4 Manch. Utd,156,580,424,0.36705882352941177
21,22,5,Dijon,Amiens 2 - 1 Dijon,172,562,390,0.4398976982097187
22,22,5,Tottenham,Leicester City 2 - 1 Tottenham,327,491,164,1.981818181818182
23,22,5,Lorient,Lorient 1 - 2 Nimes,65,154,89,0.7222222222222222
24,22,5,Clermont Foot,Clermont Foot 1 - 2 Brest,42,80,38,1.0769230769230769
25,22,5,Valenciennes,Sochaux 3 - 1 Valenciennes,39,60,21,1.7727272727272727
26,27,0,AC Ajaccio,Lens 2 - 0 AC Ajaccio,81,129,48,1.653061224489796
27,27,0,Orleans,Bourg en Bresse Peronnas 4 - 0 Orleans,28,42,14,1.8666666666666667
28,27,0,Saint-Etienne,Bordeaux 3 - 0 Saint-Etienne,230,506,276,0.8303249097472925
29,27,0,Nancy,Nancy 0 - 3 Le Havre,13,69,56,0.22807017543859648
30,27,0,GFC Ajaccio,GFC Ajaccio 0 - 2 Niort,40,45,5,6.666666666666667
31,27,0,Tours,Quevilly 4 - 0 Tours,20,41,21,0.9090909090909091
